"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Age Band , Sex , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_026_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Age Band , Sex,Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ","'Men' ",620
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ","'Women' ",945
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ","'Men' ",15050
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ","'Women' ",20580
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ","'Men' ",4755
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ","'Women' ",5230
2007 ,"'A1 - Pre-clinical Medicine' ","'20' ","'Men' ",1380
2007 ,"'A1 - Pre-clinical Medicine' ","'20' ","'Women' ",1345
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ","'Men' ",9715
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ","'Women' ",12655
2007 ,"'A2 - Pre-clinical Dentistry' ","'17 and under' ","'Men' ",70
2007 ,"'A2 - Pre-clinical Dentistry' ","'17 and under' ","'Women' ",105
2007 ,"'A2 - Pre-clinical Dentistry' ","'18' ","'Men' ",2740
2007 ,"'A2 - Pre-clinical Dentistry' ","'18' ","'Women' ",3380
2007 ,"'A2 - Pre-clinical Dentistry' ","'19' ","'Men' ",830
2007 ,"'A2 - Pre-clinical Dentistry' ","'19' ","'Women' ",900
2007 ,"'A2 - Pre-clinical Dentistry' ","'20' ","'Men' ",155
2007 ,"'A2 - Pre-clinical Dentistry' ","'20' ","'Women' ",265
2007 ,"'A2 - Pre-clinical Dentistry' ","'21 and over' ","'Men' ",1285
2007 ,"'A2 - Pre-clinical Dentistry' ","'21 and over' ","'Women' ",1440
2007 ,"'A9 - Others in Medicine and Dentistry' ","'18' ","'Men' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'18' ","'Women' ",20
2007 ,"'A9 - Others in Medicine and Dentistry' ","'19' ","'Men' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'19' ","'Women' ",10
2007 ,"'A9 - Others in Medicine and Dentistry' ","'20' ","'Women' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'21 and over' ","'Men' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'21 and over' ","'Women' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'17 and under' ","'Men' ",110
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'17 and under' ","'Women' ",315
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'18' ","'Men' ",4625
