"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Applicant Domicile (Region) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_027_01.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Applicant Domicile (Region),Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'North East' ",190
2007 ,"'A1 - Pre-clinical Medicine' ","'Yorkshire and The Humber' ",445
2007 ,"'A1 - Pre-clinical Medicine' ","'North West' ",750
2007 ,"'A1 - Pre-clinical Medicine' ","'East Midlands' ",370
2007 ,"'A1 - Pre-clinical Medicine' ","'West Midlands' ",540
2007 ,"'A1 - Pre-clinical Medicine' ","'East of England' ",535
2007 ,"'A1 - Pre-clinical Medicine' ","'London' ",1280
2007 ,"'A1 - Pre-clinical Medicine' ","'South East' ",985
2007 ,"'A1 - Pre-clinical Medicine' ","'South West' ",550
2007 ,"'A1 - Pre-clinical Medicine' ","'Wales' ",300
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ",670
2007 ,"'A1 - Pre-clinical Medicine' ","'Northern Ireland' ",380
2007 ,"'A2 - Pre-clinical Dentistry' ","'North East' ",30
2007 ,"'A2 - Pre-clinical Dentistry' ","'Yorkshire and The Humber' ",55
2007 ,"'A2 - Pre-clinical Dentistry' ","'North West' ",165
2007 ,"'A2 - Pre-clinical Dentistry' ","'East Midlands' ",65
2007 ,"'A2 - Pre-clinical Dentistry' ","'West Midlands' ",110
2007 ,"'A2 - Pre-clinical Dentistry' ","'East of England' ",55
2007 ,"'A2 - Pre-clinical Dentistry' ","'London' ",255
2007 ,"'A2 - Pre-clinical Dentistry' ","'South East' ",90
2007 ,"'A2 - Pre-clinical Dentistry' ","'South West' ",45
2007 ,"'A2 - Pre-clinical Dentistry' ","'Wales' ",55
2007 ,"'A2 - Pre-clinical Dentistry' ","'Scotland' ",120
2007 ,"'A2 - Pre-clinical Dentistry' ","'Northern Ireland' ",85
2007 ,"'A9 - Others in Medicine and Dentistry' ","'North West' ",15
2007 ,"'A9 - Others in Medicine and Dentistry' ","'London' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'North East' ",170
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Yorkshire and The Humber' ",240
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'North West' ",415
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'East Midlands' ",225
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'West Midlands' ",280
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'East of England' ",270
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'London' ",480
