"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Applicant Domicile (Region) , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_027_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Applicant Domicile (Region),Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'North East' ",1695
2007 ,"'A1 - Pre-clinical Medicine' ","'Yorkshire and The Humber' ",3845
2007 ,"'A1 - Pre-clinical Medicine' ","'North West' ",5930
2007 ,"'A1 - Pre-clinical Medicine' ","'East Midlands' ",3180
2007 ,"'A1 - Pre-clinical Medicine' ","'West Midlands' ",4435
2007 ,"'A1 - Pre-clinical Medicine' ","'East of England' ",4420
2007 ,"'A1 - Pre-clinical Medicine' ","'London' ",13300
2007 ,"'A1 - Pre-clinical Medicine' ","'South East' ",8135
2007 ,"'A1 - Pre-clinical Medicine' ","'South West' ",4325
2007 ,"'A1 - Pre-clinical Medicine' ","'Wales' ",2455
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ",4360
2007 ,"'A1 - Pre-clinical Medicine' ","'Northern Ireland' ",2480
2007 ,"'A1 - Pre-clinical Medicine' ","'Unknown' ",50
2007 ,"'A2 - Pre-clinical Dentistry' ","'North East' ",255
2007 ,"'A2 - Pre-clinical Dentistry' ","'Yorkshire and The Humber' ",625
2007 ,"'A2 - Pre-clinical Dentistry' ","'North West' ",1435
2007 ,"'A2 - Pre-clinical Dentistry' ","'East Midlands' ",560
2007 ,"'A2 - Pre-clinical Dentistry' ","'West Midlands' ",970
2007 ,"'A2 - Pre-clinical Dentistry' ","'East of England' ",495
2007 ,"'A2 - Pre-clinical Dentistry' ","'London' ",2435
2007 ,"'A2 - Pre-clinical Dentistry' ","'South East' ",860
2007 ,"'A2 - Pre-clinical Dentistry' ","'South West' ",360
2007 ,"'A2 - Pre-clinical Dentistry' ","'Wales' ",460
2007 ,"'A2 - Pre-clinical Dentistry' ","'Scotland' ",600
2007 ,"'A2 - Pre-clinical Dentistry' ","'Northern Ireland' ",525
2007 ,"'A2 - Pre-clinical Dentistry' ","'Unknown' ",15
2007 ,"'A9 - Others in Medicine and Dentistry' ","'North East' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Yorkshire and The Humber' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'North West' ",30
2007 ,"'A9 - Others in Medicine and Dentistry' ","'West Midlands' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'London' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'South East' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Wales' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'North East' ",910
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Yorkshire and The Humber' ",1650
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'North West' ",2715
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'East Midlands' ",1575
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'West Midlands' ",2170
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'East of England' ",2005
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'London' ",3605
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'South East' ",3345
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'South West' ",2120
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ",1040
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ",2170
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Northern Ireland' ",1315
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Unknown' ",45
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'North East' ",480
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Yorkshire and The Humber' ",1520
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'North West' ",2740
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'East Midlands' ",1580
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'West Midlands' ",2800
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'East of England' ",965
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'London' ",6555
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'South East' ",1535
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'South West' ",625
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Wales' ",1000
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ",1345
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Northern Ireland' ",1335
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Unknown' ",60
2007 ,"'B3 - Complementary Medicine' ","'North East' ",65
2007 ,"'B3 - Complementary Medicine' ","'Yorkshire and The Humber' ",165
2007 ,"'B3 - Complementary Medicine' ","'North West' ",255
2007 ,"'B3 - Complementary Medicine' ","'East Midlands' ",195
2007 ,"'B3 - Complementary Medicine' ","'West Midlands' ",215
2007 ,"'B3 - Complementary Medicine' ","'East of England' ",140
2007 ,"'B3 - Complementary Medicine' ","'London' ",350
2007 ,"'B3 - Complementary Medicine' ","'South East' ",395
2007 ,"'B3 - Complementary Medicine' ","'South West' ",275
2007 ,"'B3 - Complementary Medicine' ","'Wales' ",170
2007 ,"'B3 - Complementary Medicine' ","'Scotland' ",115
2007 ,"'B3 - Complementary Medicine' ","'Northern Ireland' ",40
2007 ,"'B4 - Nutrition' ","'North East' ",105
2007 ,"'B4 - Nutrition' ","'Yorkshire and The Humber' ",230
2007 ,"'B4 - Nutrition' ","'North West' ",440
2007 ,"'B4 - Nutrition' ","'East Midlands' ",280
2007 ,"'B4 - Nutrition' ","'West Midlands' ",305
2007 ,"'B4 - Nutrition' ","'East of England' ",385
2007 ,"'B4 - Nutrition' ","'London' ",855
2007 ,"'B4 - Nutrition' ","'South East' ",560
2007 ,"'B4 - Nutrition' ","'South West' ",390
2007 ,"'B4 - Nutrition' ","'Wales' ",135
2007 ,"'B4 - Nutrition' ","'Scotland' ",535
2007 ,"'B4 - Nutrition' ","'Northern Ireland' ",675
2007 ,"'B4 - Nutrition' ","'Unknown' ",15
2007 ,"'B5 - Ophthalmics' ","'North East' ",60
2007 ,"'B5 - Ophthalmics' ","'Yorkshire and The Humber' ",400
2007 ,"'B5 - Ophthalmics' ","'North West' ",565
2007 ,"'B5 - Ophthalmics' ","'East Midlands' ",385
2007 ,"'B5 - Ophthalmics' ","'West Midlands' ",695
2007 ,"'B5 - Ophthalmics' ","'East of England' ",190
2007 ,"'B5 - Ophthalmics' ","'London' ",1100
2007 ,"'B5 - Ophthalmics' ","'South East' ",265
2007 ,"'B5 - Ophthalmics' ","'South West' ",100
2007 ,"'B5 - Ophthalmics' ","'Wales' ",210
2007 ,"'B5 - Ophthalmics' ","'Scotland' ",395
2007 ,"'B5 - Ophthalmics' ","'Northern Ireland' ",365
2007 ,"'B5 - Ophthalmics' ","'Unknown' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'North East' ",210
2007 ,"'B6 - Aural and Oral Sciences' ","'Yorkshire and The Humber' ",510
2007 ,"'B6 - Aural and Oral Sciences' ","'North West' ",890
2007 ,"'B6 - Aural and Oral Sciences' ","'East Midlands' ",475
2007 ,"'B6 - Aural and Oral Sciences' ","'West Midlands' ",730
2007 ,"'B6 - Aural and Oral Sciences' ","'East of England' ",450
2007 ,"'B6 - Aural and Oral Sciences' ","'London' ",655
2007 ,"'B6 - Aural and Oral Sciences' ","'South East' ",655
2007 ,"'B6 - Aural and Oral Sciences' ","'South West' ",450
2007 ,"'B6 - Aural and Oral Sciences' ","'Wales' ",395
2007 ,"'B6 - Aural and Oral Sciences' ","'Scotland' ",345
2007 ,"'B6 - Aural and Oral Sciences' ","'Northern Ireland' ",785
2007 ,"'B6 - Aural and Oral Sciences' ","'Unknown' ",5
2007 ,"'B7 - Nursing' ","'North East' ",2605
2007 ,"'B7 - Nursing' ","'Yorkshire and The Humber' ",4360
2007 ,"'B7 - Nursing' ","'North West' ",9155
2007 ,"'B7 - Nursing' ","'East Midlands' ",2655
2007 ,"'B7 - Nursing' ","'West Midlands' ",5575
2007 ,"'B7 - Nursing' ","'East of England' ",3510
2007 ,"'B7 - Nursing' ","'London' ",6705
2007 ,"'B7 - Nursing' ","'South East' ",5020
2007 ,"'B7 - Nursing' ","'South West' ",5005
2007 ,"'B7 - Nursing' ","'Wales' ",5540
2007 ,"'B7 - Nursing' ","'Scotland' ",1580
2007 ,"'B7 - Nursing' ","'Northern Ireland' ",3330
2007 ,"'B7 - Nursing' ","'Unknown' ",75
2007 ,"'B8 - Medical Technology' ","'North East' ",345
2007 ,"'B8 - Medical Technology' ","'Yorkshire and The Humber' ",815
2007 ,"'B8 - Medical Technology' ","'North West' ",1235
2007 ,"'B8 - Medical Technology' ","'East Midlands' ",485
2007 ,"'B8 - Medical Technology' ","'West Midlands' ",960
2007 ,"'B8 - Medical Technology' ","'East of England' ",760
2007 ,"'B8 - Medical Technology' ","'London' ",1900
2007 ,"'B8 - Medical Technology' ","'South East' ",785
2007 ,"'B8 - Medical Technology' ","'South West' ",575
2007 ,"'B8 - Medical Technology' ","'Wales' ",535
2007 ,"'B8 - Medical Technology' ","'Scotland' ",665
2007 ,"'B8 - Medical Technology' ","'Northern Ireland' ",560
2007 ,"'B8 - Medical Technology' ","'Unknown' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'North East' ",1270
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Yorkshire and The Humber' ",2925
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'North West' ",3545
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'East Midlands' ",2075
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'West Midlands' ",2740
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'East of England' ",2490
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'London' ",6460
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'South East' ",3630
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'South West' ",2195
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ",1185
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ",2430
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ",2170
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ",50
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'North East' ",80
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Yorkshire and The Humber' ",105
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'North West' ",165
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'East Midlands' ",100
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'West Midlands' ",180
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'East of England' ",85
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'London' ",230
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'South East' ",90
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'South West' ",40
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Wales' ",60
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Scotland' ",25
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Northern Ireland' ",25
2007 ,"'C0 - Biological Sciences: any area of study' ","'North West' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'East Midlands' ",10
2007 ,"'C0 - Biological Sciences: any area of study' ","'West Midlands' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'East of England' ",15
2007 ,"'C0 - Biological Sciences: any area of study' ","'London' ",10
2007 ,"'C0 - Biological Sciences: any area of study' ","'South East' ",25
2007 ,"'C0 - Biological Sciences: any area of study' ","'South West' ",10
2007 ,"'C0 - Biological Sciences: any area of study' ","'Wales' ",5
