"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_028_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Ethnic Group (Summary Level),Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'Asian' ",14175
2007 ,"'A1 - Pre-clinical Medicine' ","'Black' ",3305
2007 ,"'A1 - Pre-clinical Medicine' ","'Mixed' ",2345
2007 ,"'A1 - Pre-clinical Medicine' ","'White' ",36140
2007 ,"'A1 - Pre-clinical Medicine' ","'Other' ",1495
2007 ,"'A1 - Pre-clinical Medicine' ","'Unknown' ",1145
2007 ,"'A2 - Pre-clinical Dentistry' ","'Asian' ",4265
2007 ,"'A2 - Pre-clinical Dentistry' ","'Black' ",345
2007 ,"'A2 - Pre-clinical Dentistry' ","'Mixed' ",215
2007 ,"'A2 - Pre-clinical Dentistry' ","'White' ",4235
2007 ,"'A2 - Pre-clinical Dentistry' ","'Other' ",375
2007 ,"'A2 - Pre-clinical Dentistry' ","'Unknown' ",155
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Asian' ",10
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Black' ",10
2007 ,"'A9 - Others in Medicine and Dentistry' ","'White' ",35
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Other' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Asian' ",2110
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Black' ",1275
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Mixed' ",715
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'White' ",20050
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Other' ",225
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Unknown' ",290
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Asian' ",10965
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Black' ",2875
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Mixed' ",415
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'White' ",6990
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ",895
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Unknown' ",395
2007 ,"'B3 - Complementary Medicine' ","'Asian' ",190
2007 ,"'B3 - Complementary Medicine' ","'Black' ",105
2007 ,"'B3 - Complementary Medicine' ","'Mixed' ",90
2007 ,"'B3 - Complementary Medicine' ","'White' ",1935
2007 ,"'B3 - Complementary Medicine' ","'Other' ",25
2007 ,"'B3 - Complementary Medicine' ","'Unknown' ",50
2007 ,"'B4 - Nutrition' ","'Asian' ",445
2007 ,"'B4 - Nutrition' ","'Black' ",250
2007 ,"'B4 - Nutrition' ","'Mixed' ",125
2007 ,"'B4 - Nutrition' ","'White' ",3940
2007 ,"'B4 - Nutrition' ","'Other' ",65
2007 ,"'B4 - Nutrition' ","'Unknown' ",80
2007 ,"'B5 - Ophthalmics' ","'Asian' ",2800
2007 ,"'B5 - Ophthalmics' ","'Black' ",210
2007 ,"'B5 - Ophthalmics' ","'Mixed' ",85
2007 ,"'B5 - Ophthalmics' ","'White' ",1500
2007 ,"'B5 - Ophthalmics' ","'Other' ",95
2007 ,"'B5 - Ophthalmics' ","'Unknown' ",45
2007 ,"'B6 - Aural and Oral Sciences' ","'Asian' ",780
2007 ,"'B6 - Aural and Oral Sciences' ","'Black' ",195
2007 ,"'B6 - Aural and Oral Sciences' ","'Mixed' ",110
2007 ,"'B6 - Aural and Oral Sciences' ","'White' ",5375
2007 ,"'B6 - Aural and Oral Sciences' ","'Other' ",60
2007 ,"'B6 - Aural and Oral Sciences' ","'Unknown' ",50
2007 ,"'B7 - Nursing' ","'Asian' ",3195
2007 ,"'B7 - Nursing' ","'Black' ",6405
2007 ,"'B7 - Nursing' ","'Mixed' ",1080
2007 ,"'B7 - Nursing' ","'White' ",43475
2007 ,"'B7 - Nursing' ","'Other' ",420
2007 ,"'B7 - Nursing' ","'Unknown' ",540
2007 ,"'B8 - Medical Technology' ","'Asian' ",1405
2007 ,"'B8 - Medical Technology' ","'Black' ",1560
2007 ,"'B8 - Medical Technology' ","'Mixed' ",230
2007 ,"'B8 - Medical Technology' ","'White' ",6150
2007 ,"'B8 - Medical Technology' ","'Other' ",175
2007 ,"'B8 - Medical Technology' ","'Unknown' ",105
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Asian' ",5600
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Black' ",3435
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Mixed' ",905
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'White' ",22220
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ",555
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ",445
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Asian' ",325
