"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Ethnic Group (Summary Level) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_028_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Ethnic Group (Summary Level) , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'Asian' ","'Firm choice' ",1355
2007 ,"'A1 - Pre-clinical Medicine' ","'Asian' ","'Insurance choice' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Asian' ","'Other main scheme choice' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Asian' ","'Extra' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Asian' ","'Main scheme Clearing' ",60
2007 ,"'A1 - Pre-clinical Medicine' ","'Asian' ","'RPA' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'Black' ","'Firm choice' ",160
2007 ,"'A1 - Pre-clinical Medicine' ","'Black' ","'Insurance choice' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Black' ","'Other main scheme choice' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Black' ","'Main scheme Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Mixed' ","'Firm choice' ",250
2007 ,"'A1 - Pre-clinical Medicine' ","'Mixed' ","'Main scheme Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'White' ","'Firm choice' ",4625
2007 ,"'A1 - Pre-clinical Medicine' ","'White' ","'Insurance choice' ",50
2007 ,"'A1 - Pre-clinical Medicine' ","'White' ","'Other main scheme choice' ",15
2007 ,"'A1 - Pre-clinical Medicine' ","'White' ","'Extra' ",20
2007 ,"'A1 - Pre-clinical Medicine' ","'White' ","'Main scheme Clearing' ",140
2007 ,"'A1 - Pre-clinical Medicine' ","'White' ","'Direct Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'White' ","'RPA' ",20
2007 ,"'A1 - Pre-clinical Medicine' ","'Other' ","'Firm choice' ",115
2007 ,"'A1 - Pre-clinical Medicine' ","'Other' ","'Insurance choice' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Other' ","'Main scheme Clearing' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'Unknown' ","'Firm choice' ",80
2007 ,"'A1 - Pre-clinical Medicine' ","'Unknown' ","'Main scheme Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Unknown' ","'RPA' ",35
2007 ,"'A2 - Pre-clinical Dentistry' ","'Asian' ","'Firm choice' ",370
2007 ,"'A2 - Pre-clinical Dentistry' ","'Asian' ","'Insurance choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'Asian' ","'Main scheme Clearing' ",50
2007 ,"'A2 - Pre-clinical Dentistry' ","'Black' ","'Firm choice' ",20
