"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Disability Indicator , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_029_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Disability Indicator , Acceptance Route,Number of Acceptances,
2010 ,"'A1 - Pre-clinical Medicine' ","'Disability declared' ","'Firm choice' ",295
2010 ,"'A1 - Pre-clinical Medicine' ","'Disability declared' ","'Insurance choice' ",5
2010 ,"'A1 - Pre-clinical Medicine' ","'Disability declared' ","'Main scheme Clearing' ",10
2010 ,"'A1 - Pre-clinical Medicine' ","'Disability declared' ","'RPA' ",5
2010 ,"'A1 - Pre-clinical Medicine' ","'No disability declared' ","'Firm choice' ",6425
2010 ,"'A1 - Pre-clinical Medicine' ","'No disability declared' ","'Insurance choice' ",55
2010 ,"'A1 - Pre-clinical Medicine' ","'No disability declared' ","'Other main scheme choice' ",10
2010 ,"'A1 - Pre-clinical Medicine' ","'No disability declared' ","'Extra' ",20
2010 ,"'A1 - Pre-clinical Medicine' ","'No disability declared' ","'Main scheme Clearing' ",135
2010 ,"'A1 - Pre-clinical Medicine' ","'No disability declared' ","'RPA' ",55
2010 ,"'A2 - Pre-clinical Dentistry' ","'Disability declared' ","'Firm choice' ",40
2010 ,"'A2 - Pre-clinical Dentistry' ","'No disability declared' ","'Firm choice' ",1100
2010 ,"'A2 - Pre-clinical Dentistry' ","'No disability declared' ","'Insurance choice' ",10
2010 ,"'A2 - Pre-clinical Dentistry' ","'No disability declared' ","'Main scheme Clearing' ",30
2010 ,"'A9 - Others in Medicine and Dentistry' ","'No disability declared' ","'Firm choice' ",10
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Disability declared' ","'Firm choice' ",180
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Disability declared' ","'Insurance choice' ",10
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Disability declared' ","'Main scheme Clearing' ",10
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Disability declared' ","'Direct Clearing' ",5
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Disability declared' ","'RPA' ",5
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'No disability declared' ","'Firm choice' ",2660
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'No disability declared' ","'Insurance choice' ",150
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'No disability declared' ","'Other main scheme choice' ",45
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'No disability declared' ","'Extra' ",85
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'No disability declared' ","'Main scheme Clearing' ",185
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'No disability declared' ","'Direct Clearing' ",25
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'No disability declared' ","'RPA' ",25
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Disability declared' ","'Firm choice' ",90
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Disability declared' ","'Insurance choice' ",15
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Disability declared' ","'Main scheme Clearing' ",10
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'No disability declared' ","'Firm choice' ",2265
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'No disability declared' ","'Insurance choice' ",495
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'No disability declared' ","'Other main scheme choice' ",50
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'No disability declared' ","'Extra' ",125
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'No disability declared' ","'Adjustment' ",5
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'No disability declared' ","'Main scheme Clearing' ",440
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'No disability declared' ","'Direct Clearing' ",45
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'No disability declared' ","'RPA' ",30
2010 ,"'B3 - Complementary Medicine' ","'Disability declared' ","'Firm choice' ",45
2010 ,"'B3 - Complementary Medicine' ","'Disability declared' ","'Other main scheme choice' ",5
2010 ,"'B3 - Complementary Medicine' ","'Disability declared' ","'Main scheme Clearing' ",10
2010 ,"'B3 - Complementary Medicine' ","'Disability declared' ","'Direct Clearing' ",10
2010 ,"'B3 - Complementary Medicine' ","'Disability declared' ","'RPA' ",35
2010 ,"'B3 - Complementary Medicine' ","'No disability declared' ","'Firm choice' ",460
2010 ,"'B3 - Complementary Medicine' ","'No disability declared' ","'Insurance choice' ",15
2010 ,"'B3 - Complementary Medicine' ","'No disability declared' ","'Other main scheme choice' ",45
2010 ,"'B3 - Complementary Medicine' ","'No disability declared' ","'Extra' ",10
