"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Apply Centre Type , Cycle Year"
"Coverage:   Applications through the main scheme, UK domiciled and 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_030_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Apply Centre Type,Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'Academy' ",9535
2007 ,"'A1 - Pre-clinical Medicine' ","'Further education' ",1360
2007 ,"'A1 - Pre-clinical Medicine' ","'Grammar' ",3100
2007 ,"'A1 - Pre-clinical Medicine' ","'Independent' ",10080
2007 ,"'A1 - Pre-clinical Medicine' ","'Sixth form college' ",5025
2007 ,"'A1 - Pre-clinical Medicine' ","'State' ",8320
2007 ,"'A1 - Pre-clinical Medicine' ","'Other' ",905
2007 ,"'A2 - Pre-clinical Dentistry' ","'Academy' ",1845
2007 ,"'A2 - Pre-clinical Dentistry' ","'Further education' ",215
2007 ,"'A2 - Pre-clinical Dentistry' ","'Grammar' ",660
2007 ,"'A2 - Pre-clinical Dentistry' ","'Independent' ",1620
2007 ,"'A2 - Pre-clinical Dentistry' ","'Sixth form college' ",930
2007 ,"'A2 - Pre-clinical Dentistry' ","'State' ",1550
2007 ,"'A2 - Pre-clinical Dentistry' ","'Other' ",190
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Academy' ",10
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Sixth form college' ",10
2007 ,"'A9 - Others in Medicine and Dentistry' ","'State' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Academy' ",4490
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Further education' ",1615
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Grammar' ",1130
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Independent' ",2190
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Sixth form college' ",2865
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'State' ",5010
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Other' ",625
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Academy' ",3755
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Further education' ",1350
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Grammar' ",1415
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Independent' ",1910
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Sixth form college' ",3110
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'State' ",4675
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ",775
2007 ,"'B3 - Complementary Medicine' ","'Academy' ",265
2007 ,"'B3 - Complementary Medicine' ","'Further education' ",235
2007 ,"'B3 - Complementary Medicine' ","'Grammar' ",25
2007 ,"'B3 - Complementary Medicine' ","'Independent' ",60
2007 ,"'B3 - Complementary Medicine' ","'Sixth form college' ",170
2007 ,"'B3 - Complementary Medicine' ","'State' ",230
2007 ,"'B3 - Complementary Medicine' ","'Other' ",160
2007 ,"'B4 - Nutrition' ","'Academy' ",670
2007 ,"'B4 - Nutrition' ","'Further education' ",340
2007 ,"'B4 - Nutrition' ","'Grammar' ",475
2007 ,"'B4 - Nutrition' ","'Independent' ",225
2007 ,"'B4 - Nutrition' ","'Sixth form college' ",370
2007 ,"'B4 - Nutrition' ","'State' ",770
2007 ,"'B4 - Nutrition' ","'Other' ",130
2007 ,"'B5 - Ophthalmics' ","'Academy' ",880
2007 ,"'B5 - Ophthalmics' ","'Further education' ",160
2007 ,"'B5 - Ophthalmics' ","'Grammar' ",355
2007 ,"'B5 - Ophthalmics' ","'Independent' ",400
2007 ,"'B5 - Ophthalmics' ","'Sixth form college' ",675
2007 ,"'B5 - Ophthalmics' ","'State' ",970
2007 ,"'B5 - Ophthalmics' ","'Other' ",105
2007 ,"'B6 - Aural and Oral Sciences' ","'Academy' ",1245
2007 ,"'B6 - Aural and Oral Sciences' ","'Further education' ",415
2007 ,"'B6 - Aural and Oral Sciences' ","'Grammar' ",560
2007 ,"'B6 - Aural and Oral Sciences' ","'Independent' ",320
2007 ,"'B6 - Aural and Oral Sciences' ","'Sixth form college' ",860
2007 ,"'B6 - Aural and Oral Sciences' ","'State' ",1295
2007 ,"'B6 - Aural and Oral Sciences' ","'Other' ",130
2007 ,"'B7 - Nursing' ","'Academy' ",6025
2007 ,"'B7 - Nursing' ","'Further education' ",5910
2007 ,"'B7 - Nursing' ","'Grammar' ",1040
2007 ,"'B7 - Nursing' ","'Independent' ",880
2007 ,"'B7 - Nursing' ","'Sixth form college' ",6585
2007 ,"'B7 - Nursing' ","'State' ",9025
2007 ,"'B7 - Nursing' ","'Other' ",2260
2007 ,"'B8 - Medical Technology' ","'Academy' ",1025
2007 ,"'B8 - Medical Technology' ","'Further education' ",685
2007 ,"'B8 - Medical Technology' ","'Grammar' ",405
2007 ,"'B8 - Medical Technology' ","'Independent' ",170
2007 ,"'B8 - Medical Technology' ","'Sixth form college' ",1160
2007 ,"'B8 - Medical Technology' ","'State' ",1760
2007 ,"'B8 - Medical Technology' ","'Other' ",205
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Academy' ",5125
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Further education' ",2630
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Grammar' ",1500
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Independent' ",1865
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Sixth form college' ",4285
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'State' ",6470
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ",1125
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Academy' ",215
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Further education' ",90
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Grammar' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Independent' ",80
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Sixth form college' ",165
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'State' ",235
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Other' ",45
2007 ,"'C0 - Biological Sciences: any area of study' ","'Academy' ",25
2007 ,"'C0 - Biological Sciences: any area of study' ","'Further education' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'Independent' ",15
2007 ,"'C0 - Biological Sciences: any area of study' ","'Sixth form college' ",15
2007 ,"'C0 - Biological Sciences: any area of study' ","'State' ",15
2007 ,"'C1 - Biology' ","'Academy' ",4945
2007 ,"'C1 - Biology' ","'Further education' ",1245
2007 ,"'C1 - Biology' ","'Grammar' ",760
2007 ,"'C1 - Biology' ","'Independent' ",3280
2007 ,"'C1 - Biology' ","'Sixth form college' ",3130
2007 ,"'C1 - Biology' ","'State' ",5695
2007 ,"'C1 - Biology' ","'Other' ",540
2007 ,"'C2 - Botany' ","'Academy' ",15
2007 ,"'C2 - Botany' ","'Further education' ",5
2007 ,"'C2 - Botany' ","'Grammar' ",5
2007 ,"'C2 - Botany' ","'Independent' ",10
2007 ,"'C2 - Botany' ","'Sixth form college' ",10
2007 ,"'C2 - Botany' ","'State' ",30
2007 ,"'C3 - Zoology' ","'Academy' ",1175
2007 ,"'C3 - Zoology' ","'Further education' ",540
2007 ,"'C3 - Zoology' ","'Grammar' ",205
2007 ,"'C3 - Zoology' ","'Independent' ",770
2007 ,"'C3 - Zoology' ","'Sixth form college' ",695
2007 ,"'C3 - Zoology' ","'State' ",1700
2007 ,"'C3 - Zoology' ","'Other' ",195
2007 ,"'C4 - Genetics' ","'Academy' ",410
2007 ,"'C4 - Genetics' ","'Further education' ",100
2007 ,"'C4 - Genetics' ","'Grammar' ",75
2007 ,"'C4 - Genetics' ","'Independent' ",190
2007 ,"'C4 - Genetics' ","'Sixth form college' ",250
2007 ,"'C4 - Genetics' ","'State' ",490
2007 ,"'C4 - Genetics' ","'Other' ",50
2007 ,"'C5 - Microbiology' ","'Academy' ",325
2007 ,"'C5 - Microbiology' ","'Further education' ",125
2007 ,"'C5 - Microbiology' ","'Grammar' ",55
2007 ,"'C5 - Microbiology' ","'Independent' ",100
2007 ,"'C5 - Microbiology' ","'Sixth form college' ",170
2007 ,"'C5 - Microbiology' ","'State' ",620
2007 ,"'C5 - Microbiology' ","'Other' ",35
2007 ,"'C6 - Sport and Exercise Science' ","'Academy' ",8345
2007 ,"'C6 - Sport and Exercise Science' ","'Further education' ",8075
2007 ,"'C6 - Sport and Exercise Science' ","'Grammar' ",945
2007 ,"'C6 - Sport and Exercise Science' ","'Independent' ",2525
2007 ,"'C6 - Sport and Exercise Science' ","'Sixth form college' ",8395
2007 ,"'C6 - Sport and Exercise Science' ","'State' ",10975
2007 ,"'C6 - Sport and Exercise Science' ","'Other' ",2380
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Academy' ",2770
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Further education' ",600
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Grammar' ",470
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Independent' ",1390
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Sixth form college' ",1690
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'State' ",2420
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Other' ",265
2007 ,"'C8 - Psychology' ","'Academy' ",15875
2007 ,"'C8 - Psychology' ","'Further education' ",6070
2007 ,"'C8 - Psychology' ","'Grammar' ",2260
2007 ,"'C8 - Psychology' ","'Independent' ",5200
2007 ,"'C8 - Psychology' ","'Sixth form college' ",13175
2007 ,"'C8 - Psychology' ","'State' ",15535
2007 ,"'C8 - Psychology' ","'Other' ",2310
2007 ,"'C9 - Others in Biological Sciences' ","'Academy' ",595
2007 ,"'C9 - Others in Biological Sciences' ","'Further education' ",240
2007 ,"'C9 - Others in Biological Sciences' ","'Grammar' ",45
2007 ,"'C9 - Others in Biological Sciences' ","'Independent' ",170
2007 ,"'C9 - Others in Biological Sciences' ","'Sixth form college' ",400
2007 ,"'C9 - Others in Biological Sciences' ","'State' ",605
2007 ,"'C9 - Others in Biological Sciences' ","'Other' ",100
2007 ,"'CC - Combinations within Biological Sciences' ","'Academy' ",735
2007 ,"'CC - Combinations within Biological Sciences' ","'Further education' ",385
2007 ,"'CC - Combinations within Biological Sciences' ","'Grammar' ",100
2007 ,"'CC - Combinations within Biological Sciences' ","'Independent' ",305
2007 ,"'CC - Combinations within Biological Sciences' ","'Sixth form college' ",535
2007 ,"'CC - Combinations within Biological Sciences' ","'State' ",1120
2007 ,"'CC - Combinations within Biological Sciences' ","'Other' ",130
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Academy' ",1040
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Further education' ",185
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Grammar' ",275
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Independent' ",940
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Sixth form college' ",535
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'State' ",1065
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Other' ",45
2007 ,"'D3 - Animal Science' ","'Academy' ",955
2007 ,"'D3 - Animal Science' ","'Further education' ",980
2007 ,"'D3 - Animal Science' ","'Grammar' ",90
2007 ,"'D3 - Animal Science' ","'Independent' ",270
2007 ,"'D3 - Animal Science' ","'Sixth form college' ",820
2007 ,"'D3 - Animal Science' ","'State' ",960
