"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Apply Centre Type , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled and 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_030_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Apply Centre Type , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'Academy' ","'Firm choice' ",1240
2007 ,"'A1 - Pre-clinical Medicine' ","'Academy' ","'Insurance choice' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'Academy' ","'Extra' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'Academy' ","'Main scheme Clearing' ",40
2007 ,"'A1 - Pre-clinical Medicine' ","'Further education' ","'Firm choice' ",120
2007 ,"'A1 - Pre-clinical Medicine' ","'Further education' ","'Extra' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Grammar' ","'Firm choice' ",470
2007 ,"'A1 - Pre-clinical Medicine' ","'Grammar' ","'Insurance choice' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'Grammar' ","'Main scheme Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Independent' ","'Firm choice' ",1580
2007 ,"'A1 - Pre-clinical Medicine' ","'Independent' ","'Insurance choice' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'Independent' ","'Extra' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Independent' ","'Main scheme Clearing' ",50
2007 ,"'A1 - Pre-clinical Medicine' ","'Sixth form college' ","'Firm choice' ",555
2007 ,"'A1 - Pre-clinical Medicine' ","'Sixth form college' ","'Insurance choice' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Sixth form college' ","'Main scheme Clearing' ",20
2007 ,"'A1 - Pre-clinical Medicine' ","'State' ","'Firm choice' ",990
2007 ,"'A1 - Pre-clinical Medicine' ","'State' ","'Insurance choice' ",15
2007 ,"'A1 - Pre-clinical Medicine' ","'State' ","'Extra' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'State' ","'Main scheme Clearing' ",40
2007 ,"'A1 - Pre-clinical Medicine' ","'Other' ","'Firm choice' ",65
2007 ,"'A1 - Pre-clinical Medicine' ","'Other' ","'Main scheme Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Other' ","'RPA' ",35
2007 ,"'A2 - Pre-clinical Dentistry' ","'Academy' ","'Firm choice' ",200
2007 ,"'A2 - Pre-clinical Dentistry' ","'Academy' ","'Main scheme Clearing' ",15
2007 ,"'A2 - Pre-clinical Dentistry' ","'Further education' ","'Firm choice' ",15
2007 ,"'A2 - Pre-clinical Dentistry' ","'Further education' ","'Main scheme Clearing' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'Grammar' ","'Firm choice' ",90
2007 ,"'A2 - Pre-clinical Dentistry' ","'Grammar' ","'Insurance choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'Independent' ","'Firm choice' ",210
2007 ,"'A2 - Pre-clinical Dentistry' ","'Independent' ","'Insurance choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'Independent' ","'Main scheme Clearing' ",15
2007 ,"'A2 - Pre-clinical Dentistry' ","'Sixth form college' ","'Firm choice' ",75
2007 ,"'A2 - Pre-clinical Dentistry' ","'Sixth form college' ","'Insurance choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'Sixth form college' ","'Main scheme Clearing' ",10
2007 ,"'A2 - Pre-clinical Dentistry' ","'State' ","'Firm choice' ",170
2007 ,"'A2 - Pre-clinical Dentistry' ","'State' ","'Insurance choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'State' ","'Main scheme Clearing' ",10
2007 ,"'A2 - Pre-clinical Dentistry' ","'Other' ","'Firm choice' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Academy' ","'Firm choice' ",455
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Academy' ","'Insurance choice' ",35
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Academy' ","'Other main scheme choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Academy' ","'Extra' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Academy' ","'Main scheme Clearing' ",55
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Further education' ","'Firm choice' ",115
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Further education' ","'Insurance choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Further education' ","'Extra' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Further education' ","'Main scheme Clearing' ",20
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Grammar' ","'Firm choice' ",115
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Grammar' ","'Insurance choice' ",10
