"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Provider Country 2016 , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_031_01.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Provider Country 2016,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ",6240
2007 ,"'A1 - Pre-clinical Medicine' ","'Northern Ireland' ",260
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ",960
2007 ,"'A1 - Pre-clinical Medicine' ","'Wales' ",380
2007 ,"'A2 - Pre-clinical Dentistry' ","'England' ",920
2007 ,"'A2 - Pre-clinical Dentistry' ","'Northern Ireland' ",50
2007 ,"'A2 - Pre-clinical Dentistry' ","'Scotland' ",160
2007 ,"'A2 - Pre-clinical Dentistry' ","'Wales' ",70
2007 ,"'A9 - Others in Medicine and Dentistry' ","'England' ",20
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ",3050
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Northern Ireland' ",60
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ",575
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ",170
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ",3345
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Northern Ireland' ",155
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ",355
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Wales' ",130
2007 ,"'B3 - Complementary Medicine' ","'England' ",1065
2007 ,"'B3 - Complementary Medicine' ","'Scotland' ",60
2007 ,"'B3 - Complementary Medicine' ","'Wales' ",105
2007 ,"'B4 - Nutrition' ","'England' ",785
2007 ,"'B4 - Nutrition' ","'Northern Ireland' ",85
2007 ,"'B4 - Nutrition' ","'Scotland' ",130
2007 ,"'B4 - Nutrition' ","'Wales' ",35
2007 ,"'B5 - Ophthalmics' ","'England' ",580
2007 ,"'B5 - Ophthalmics' ","'Northern Ireland' ",40
2007 ,"'B5 - Ophthalmics' ","'Scotland' ",85
2007 ,"'B5 - Ophthalmics' ","'Wales' ",110
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ",725
2007 ,"'B6 - Aural and Oral Sciences' ","'Northern Ireland' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'Scotland' ",90
2007 ,"'B6 - Aural and Oral Sciences' ","'Wales' ",50
2007 ,"'B7 - Nursing' ","'England' ",4960
2007 ,"'B7 - Nursing' ","'Northern Ireland' ",335
2007 ,"'B7 - Nursing' ","'Scotland' ",285
2007 ,"'B7 - Nursing' ","'Wales' ",855
2007 ,"'B8 - Medical Technology' ","'England' ",1300
2007 ,"'B8 - Medical Technology' ","'Northern Ireland' ",55
2007 ,"'B8 - Medical Technology' ","'Scotland' ",165
2007 ,"'B8 - Medical Technology' ","'Wales' ",105
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ",5940
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ",225
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ",660
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ",305
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ",220
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Scotland' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Wales' ",20
2007 ,"'C0 - Biological Sciences: any area of study' ","'England' ",25
2007 ,"'C1 - Biology' ","'England' ",3400
2007 ,"'C1 - Biology' ","'Northern Ireland' ",85
2007 ,"'C1 - Biology' ","'Scotland' ",635
2007 ,"'C1 - Biology' ","'Wales' ",275
2007 ,"'C2 - Botany' ","'England' ",15
2007 ,"'C2 - Botany' ","'Scotland' ",5
2007 ,"'C2 - Botany' ","'Wales' ",5
2007 ,"'C3 - Zoology' ","'England' ",645
2007 ,"'C3 - Zoology' ","'Northern Ireland' ",10
2007 ,"'C3 - Zoology' ","'Scotland' ",275
2007 ,"'C3 - Zoology' ","'Wales' ",205
2007 ,"'C4 - Genetics' ","'England' ",310
2007 ,"'C4 - Genetics' ","'Northern Ireland' ",5
2007 ,"'C4 - Genetics' ","'Scotland' ",70
2007 ,"'C4 - Genetics' ","'Wales' ",55
2007 ,"'C5 - Microbiology' ","'England' ",220
2007 ,"'C5 - Microbiology' ","'Northern Ireland' ",5
2007 ,"'C5 - Microbiology' ","'Scotland' ",120
2007 ,"'C5 - Microbiology' ","'Wales' ",10
2007 ,"'C6 - Sport and Exercise Science' ","'England' ",7770
2007 ,"'C6 - Sport and Exercise Science' ","'Northern Ireland' ",90
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ",555
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ",840
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ",1850
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Northern Ireland' ",25
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ",180
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Wales' ",95
2007 ,"'C8 - Psychology' ","'England' ",10690
2007 ,"'C8 - Psychology' ","'Northern Ireland' ",430
2007 ,"'C8 - Psychology' ","'Scotland' ",1155
2007 ,"'C8 - Psychology' ","'Wales' ",850
