"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Provider Country 2016 , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_031_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Provider Country 2016,Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ",59995
2007 ,"'A1 - Pre-clinical Medicine' ","'Northern Ireland' ",925
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ",8090
2007 ,"'A1 - Pre-clinical Medicine' ","'Wales' ",3270
2007 ,"'A2 - Pre-clinical Dentistry' ","'England' ",9585
2007 ,"'A2 - Pre-clinical Dentistry' ","'Northern Ireland' ",195
2007 ,"'A2 - Pre-clinical Dentistry' ","'Scotland' ",700
2007 ,"'A2 - Pre-clinical Dentistry' ","'Wales' ",685
2007 ,"'A9 - Others in Medicine and Dentistry' ","'England' ",70
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ",22990
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Northern Ireland' ",775
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ",3710
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ",1290
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ",24815
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Northern Ireland' ",700
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ",2165
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Wales' ",1290
2007 ,"'B3 - Complementary Medicine' ","'England' ",2430
2007 ,"'B3 - Complementary Medicine' ","'Scotland' ",120
2007 ,"'B3 - Complementary Medicine' ","'Wales' ",305
2007 ,"'B4 - Nutrition' ","'England' ",4510
2007 ,"'B4 - Nutrition' ","'Northern Ireland' ",585
2007 ,"'B4 - Nutrition' ","'Scotland' ",965
2007 ,"'B4 - Nutrition' ","'Wales' ",250
2007 ,"'B5 - Ophthalmics' ","'England' ",4010
2007 ,"'B5 - Ophthalmics' ","'Northern Ireland' ",230
2007 ,"'B5 - Ophthalmics' ","'Scotland' ",570
2007 ,"'B5 - Ophthalmics' ","'Wales' ",620
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ",5805
2007 ,"'B6 - Aural and Oral Sciences' ","'Northern Ireland' ",360
2007 ,"'B6 - Aural and Oral Sciences' ","'Scotland' ",715
2007 ,"'B6 - Aural and Oral Sciences' ","'Wales' ",480
2007 ,"'B7 - Nursing' ","'England' ",47835
2007 ,"'B7 - Nursing' ","'Northern Ireland' ",1790
2007 ,"'B7 - Nursing' ","'Scotland' ",2715
2007 ,"'B7 - Nursing' ","'Wales' ",6095
2007 ,"'B8 - Medical Technology' ","'England' ",8360
2007 ,"'B8 - Medical Technology' ","'Northern Ireland' ",305
2007 ,"'B8 - Medical Technology' ","'Scotland' ",960
2007 ,"'B8 - Medical Technology' ","'Wales' ",755
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ",31365
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ",1510
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ",3370
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ",1085
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ",1215
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Scotland' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Wales' ",80
2007 ,"'C0 - Biological Sciences: any area of study' ","'England' ",95
2007 ,"'C1 - Biology' ","'England' ",19170
2007 ,"'C1 - Biology' ","'Northern Ireland' ",540
2007 ,"'C1 - Biology' ","'Scotland' ",3830
2007 ,"'C1 - Biology' ","'Wales' ",1555
2007 ,"'C2 - Botany' ","'England' ",85
2007 ,"'C2 - Botany' ","'Scotland' ",30
2007 ,"'C2 - Botany' ","'Wales' ",15
2007 ,"'C3 - Zoology' ","'England' ",4015
2007 ,"'C3 - Zoology' ","'Northern Ireland' ",100
