"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Provider Country 2016 , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_031_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Provider Country 2016 , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ","'Firm choice' ",5880
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ","'Insurance choice' ",60
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ","'Other main scheme choice' ",25
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ","'Extra' ",25
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ","'Main scheme Clearing' ",180
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ","'Direct Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ","'RPA' ",70
2007 ,"'A1 - Pre-clinical Medicine' ","'Northern Ireland' ","'Firm choice' ",245
2007 ,"'A1 - Pre-clinical Medicine' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'Northern Ireland' ","'RPA' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ","'Firm choice' ",850
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ","'Insurance choice' ",15
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ","'Other main scheme choice' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ","'Extra' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ","'Main scheme Clearing' ",60
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ","'RPA' ",30
2007 ,"'A1 - Pre-clinical Medicine' ","'Wales' ","'Firm choice' ",335
2007 ,"'A1 - Pre-clinical Medicine' ","'Wales' ","'Insurance choice' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Wales' ","'Other main scheme choice' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Wales' ","'Main scheme Clearing' ",35
2007 ,"'A2 - Pre-clinical Dentistry' ","'England' ","'Firm choice' ",825
2007 ,"'A2 - Pre-clinical Dentistry' ","'England' ","'Insurance choice' ",20
2007 ,"'A2 - Pre-clinical Dentistry' ","'England' ","'Other main scheme choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'England' ","'Main scheme Clearing' ",65
2007 ,"'A2 - Pre-clinical Dentistry' ","'England' ","'RPA' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'Northern Ireland' ","'Firm choice' ",45
2007 ,"'A2 - Pre-clinical Dentistry' ","'Scotland' ","'Firm choice' ",140
2007 ,"'A2 - Pre-clinical Dentistry' ","'Scotland' ","'Main scheme Clearing' ",10
2007 ,"'A2 - Pre-clinical Dentistry' ","'Wales' ","'Firm choice' ",70
2007 ,"'A9 - Others in Medicine and Dentistry' ","'England' ","'Firm choice' ",15
2007 ,"'A9 - Others in Medicine and Dentistry' ","'England' ","'Main scheme Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ","'Firm choice' ",2350
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ","'Insurance choice' ",110
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ","'Other main scheme choice' ",70
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ","'Extra' ",45
