"Statistic:   Number of Acceptances"
"Variables:   Deferred Status , Age Band , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_032_07.pdf"
 
Cycle Year,Deferred Status , Age Band , Acceptance Route,Number of Acceptances,
2007 ,"'Deferred' ","'17 and under' ","'Firm choice' ",500
2007 ,"'Deferred' ","'17 and under' ","'Insurance choice' ",65
2007 ,"'Deferred' ","'17 and under' ","'Other main scheme choice' ",15
2007 ,"'Deferred' ","'17 and under' ","'Main scheme Clearing' ",25
2007 ,"'Deferred' ","'17 and under' ","'Direct Clearing' ",5
2007 ,"'Deferred' ","'17 and under' ","'RPA' ",15
2007 ,"'Deferred' ","'18' ","'Firm choice' ",16980
2007 ,"'Deferred' ","'18' ","'Insurance choice' ",2220
2007 ,"'Deferred' ","'18' ","'Other main scheme choice' ",150
2007 ,"'Deferred' ","'18' ","'Extra' ",70
2007 ,"'Deferred' ","'18' ","'Main scheme Clearing' ",635
2007 ,"'Deferred' ","'18' ","'Direct Clearing' ",10
2007 ,"'Deferred' ","'18' ","'RPA' ",45
2007 ,"'Deferred' ","'19' ","'Firm choice' ",2305
2007 ,"'Deferred' ","'19' ","'Insurance choice' ",180
2007 ,"'Deferred' ","'19' ","'Other main scheme choice' ",140
2007 ,"'Deferred' ","'19' ","'Extra' ",25
2007 ,"'Deferred' ","'19' ","'Main scheme Clearing' ",120
2007 ,"'Deferred' ","'19' ","'Direct Clearing' ",20
2007 ,"'Deferred' ","'19' ","'RPA' ",35
2007 ,"'Deferred' ","'20' ","'Firm choice' ",735
2007 ,"'Deferred' ","'20' ","'Insurance choice' ",40
2007 ,"'Deferred' ","'20' ","'Other main scheme choice' ",75
2007 ,"'Deferred' ","'20' ","'Extra' ",10
2007 ,"'Deferred' ","'20' ","'Main scheme Clearing' ",50
2007 ,"'Deferred' ","'20' ","'Direct Clearing' ",10
2007 ,"'Deferred' ","'20' ","'RPA' ",30
2007 ,"'Deferred' ","'21 and over' ","'Firm choice' ",2665
2007 ,"'Deferred' ","'21 and over' ","'Insurance choice' ",55
2007 ,"'Deferred' ","'21 and over' ","'Other main scheme choice' ",535
2007 ,"'Deferred' ","'21 and over' ","'Extra' ",15
2007 ,"'Deferred' ","'21 and over' ","'Main scheme Clearing' ",180
2007 ,"'Deferred' ","'21 and over' ","'Direct Clearing' ",70
2007 ,"'Deferred' ","'21 and over' ","'RPA' ",295
2007 ,"'Not deferred' ","'17 and under' ","'Firm choice' ",2960
2007 ,"'Not deferred' ","'17 and under' ","'Insurance choice' ",325
2007 ,"'Not deferred' ","'17 and under' ","'Other main scheme choice' ",265
2007 ,"'Not deferred' ","'17 and under' ","'Extra' ",35
2007 ,"'Not deferred' ","'17 and under' ","'Main scheme Clearing' ",335
2007 ,"'Not deferred' ","'17 and under' ","'Direct Clearing' ",130
2007 ,"'Not deferred' ","'17 and under' ","'RPA' ",435
2007 ,"'Not deferred' ","'18' ","'Firm choice' ",148750
2007 ,"'Not deferred' ","'18' ","'Insurance choice' ",15370
2007 ,"'Not deferred' ","'18' ","'Other main scheme choice' ",1700
2007 ,"'Not deferred' ","'18' ","'Extra' ",1905
2007 ,"'Not deferred' ","'18' ","'Main scheme Clearing' ",15330
2007 ,"'Not deferred' ","'18' ","'Direct Clearing' ",1075
2007 ,"'Not deferred' ","'18' ","'RPA' ",2805
2007 ,"'Not deferred' ","'19' ","'Firm choice' ",58990
2007 ,"'Not deferred' ","'19' ","'Insurance choice' ",3555
2007 ,"'Not deferred' ","'19' ","'Other main scheme choice' ",2910
2007 ,"'Not deferred' ","'19' ","'Extra' ",890
2007 ,"'Not deferred' ","'19' ","'Main scheme Clearing' ",6215
2007 ,"'Not deferred' ","'19' ","'Direct Clearing' ",1855
2007 ,"'Not deferred' ","'19' ","'RPA' ",3865
2007 ,"'Not deferred' ","'20' ","'Firm choice' ",20075
2007 ,"'Not deferred' ","'20' ","'Insurance choice' ",905
2007 ,"'Not deferred' ","'20' ","'Other main scheme choice' ",2365
2007 ,"'Not deferred' ","'20' ","'Extra' ",305
2007 ,"'Not deferred' ","'20' ","'Main scheme Clearing' ",2275
2007 ,"'Not deferred' ","'20' ","'Direct Clearing' ",1320
2007 ,"'Not deferred' ","'20' ","'RPA' ",3520
2007 ,"'Not deferred' ","'21 and over' ","'Firm choice' ",49025
2007 ,"'Not deferred' ","'21 and over' ","'Insurance choice' ",1040
