"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Accepted through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_003_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2006 ,"'A20 The University of Aberdeen' ","'UK' ",1785
2006 ,"'A20 The University of Aberdeen' ","'EU (excluding UK)' ",240
2006 ,"'A20 The University of Aberdeen' ","'Not EU' ",145
2006 ,"'A30 Abertay University' ","'UK' ",775
2006 ,"'A30 Abertay University' ","'EU (excluding UK)' ",50
2006 ,"'A30 Abertay University' ","'Not EU' ",15
2006 ,"'A40 Aberystwyth University' ","'UK' ",1645
2006 ,"'A40 Aberystwyth University' ","'EU (excluding UK)' ",125
2006 ,"'A40 Aberystwyth University' ","'Not EU' ",100
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'UK' ",65
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'EU (excluding UK)' ",15
2006 ,"'A50 American InterContinental University - London' ","'EU (excluding UK)' ",5
2006 ,"'A50 American InterContinental University - London' ","'Not EU' ",5
2006 ,"'A60 Anglia Ruskin University' ","'UK' ",1720
2006 ,"'A60 Anglia Ruskin University' ","'EU (excluding UK)' ",65
2006 ,"'A60 Anglia Ruskin University' ","'Not EU' ",70
2006 ,"'A70 Askham Bryan College' ","'UK' ",30
2006 ,"'A80 Aston University, Birmingham' ","'UK' ",1510
2006 ,"'A80 Aston University, Birmingham' ","'EU (excluding UK)' ",75
2006 ,"'A80 Aston University, Birmingham' ","'Not EU' ",245
2006 ,"'B06 Bangor University' ","'UK' ",1740
2006 ,"'B06 Bangor University' ","'EU (excluding UK)' ",60
2006 ,"'B06 Bangor University' ","'Not EU' ",30
2006 ,"'B11 Barking and Dagenham College' ","'UK' ",20
2006 ,"'B15 Basingstoke College of Technology' ","'UK' ",10
2006 ,"'B16 University of Bath' ","'UK' ",1845
2006 ,"'B16 University of Bath' ","'EU (excluding UK)' ",190
2006 ,"'B16 University of Bath' ","'Not EU' ",445
2006 ,"'B20 Bath Spa University' ","'UK' ",1435
2006 ,"'B20 Bath Spa University' ","'EU (excluding UK)' ",30
2006 ,"'B20 Bath Spa University' ","'Not EU' ",20
2006 ,"'B26 Bell College' ","'UK' ",345
2006 ,"'B26 Bell College' ","'EU (excluding UK)' ",5
2006 ,"'B26 Bell College' ","'Not EU' ",5
2006 ,"'B32 The University of Birmingham' ","'UK' ",4315
2006 ,"'B32 The University of Birmingham' ","'EU (excluding UK)' ",125
2006 ,"'B32 The University of Birmingham' ","'Not EU' ",410
2006 ,"'B35 University College Birmingham' ","'UK' ",580
2006 ,"'B35 University College Birmingham' ","'EU (excluding UK)' ",55
2006 ,"'B35 University College Birmingham' ","'Not EU' ",55
2006 ,"'B37 Bishop Burton College' ","'UK' ",135
2006 ,"'B37 Bishop Burton College' ","'EU (excluding UK)' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'UK' ",370
2006 ,"'B40 Blackburn College' ","'UK' ",195
2006 ,"'B40 Blackburn College' ","'Not EU' ",10
2006 ,"'B41 Blackpool and The Fylde College' ","'UK' ",325
2006 ,"'B41 Blackpool and The Fylde College' ","'EU (excluding UK)' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'Not EU' ",5
2006 ,"'B44 University of Bolton' ","'UK' ",560
2006 ,"'B44 University of Bolton' ","'EU (excluding UK)' ",10
2006 ,"'B44 University of Bolton' ","'Not EU' ",15
2006 ,"'B50 Bournemouth University' ","'UK' ",2810
2006 ,"'B50 Bournemouth University' ","'EU (excluding UK)' ",135
2006 ,"'B50 Bournemouth University' ","'Not EU' ",150
2006 ,"'B53 The Arts Institute at Bournemouth' ","'UK' ",575
