"Statistic:   Number of Applications"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_003_03.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Applications,
2006 ,"'A20 The University of Aberdeen' ","'UK' ",11830
2006 ,"'A20 The University of Aberdeen' ","'EU (excluding UK)' ",1620
2006 ,"'A20 The University of Aberdeen' ","'Not EU' ",1465
2006 ,"'A30 Abertay University' ","'UK' ",4120
2006 ,"'A30 Abertay University' ","'EU (excluding UK)' ",290
2006 ,"'A30 Abertay University' ","'Not EU' ",250
2006 ,"'A40 Aberystwyth University' ","'UK' ",8250
2006 ,"'A40 Aberystwyth University' ","'EU (excluding UK)' ",395
2006 ,"'A40 Aberystwyth University' ","'Not EU' ",630
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'UK' ",175
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'EU (excluding UK)' ",45
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'Not EU' ",25
2006 ,"'A50 American InterContinental University - London' ","'UK' ",195
2006 ,"'A50 American InterContinental University - London' ","'EU (excluding UK)' ",55
2006 ,"'A50 American InterContinental University - London' ","'Not EU' ",105
2006 ,"'A60 Anglia Ruskin University' ","'UK' ",8180
2006 ,"'A60 Anglia Ruskin University' ","'EU (excluding UK)' ",415
2006 ,"'A60 Anglia Ruskin University' ","'Not EU' ",640
2006 ,"'A70 Askham Bryan College' ","'UK' ",160
2006 ,"'A70 Askham Bryan College' ","'EU (excluding UK)' ",10
2006 ,"'A70 Askham Bryan College' ","'Not EU' ",30
2006 ,"'A80 Aston University, Birmingham' ","'UK' ",11340
2006 ,"'A80 Aston University, Birmingham' ","'EU (excluding UK)' ",690
2006 ,"'A80 Aston University, Birmingham' ","'Not EU' ",2280
2006 ,"'B06 Bangor University' ","'UK' ",8565
2006 ,"'B06 Bangor University' ","'EU (excluding UK)' ",445
2006 ,"'B06 Bangor University' ","'Not EU' ",350
2006 ,"'B11 Barking and Dagenham College' ","'UK' ",100
2006 ,"'B11 Barking and Dagenham College' ","'EU (excluding UK)' ",10
2006 ,"'B11 Barking and Dagenham College' ","'Not EU' ",25
2006 ,"'B12 Barony College' ","'UK' ",35
2006 ,"'B12 Barony College' ","'Not EU' ",5
2006 ,"'B15 Basingstoke College of Technology' ","'UK' ",65
2006 ,"'B15 Basingstoke College of Technology' ","'Not EU' ",10
2006 ,"'B16 University of Bath' ","'UK' ",14250
2006 ,"'B16 University of Bath' ","'EU (excluding UK)' ",1655
2006 ,"'B16 University of Bath' ","'Not EU' ",4085
2006 ,"'B20 Bath Spa University' ","'UK' ",9445
2006 ,"'B20 Bath Spa University' ","'EU (excluding UK)' ",235
2006 ,"'B20 Bath Spa University' ","'Not EU' ",275
2006 ,"'B21 Bath College' ","'UK' ",30
2006 ,"'B21 Bath College' ","'Not EU' ",5
2006 ,"'B23 Bedford College' ","'UK' ",55
2006 ,"'B23 Bedford College' ","'Not EU' ",15
2006 ,"'B26 Bell College' ","'UK' ",1290
2006 ,"'B26 Bell College' ","'EU (excluding UK)' ",20
2006 ,"'B26 Bell College' ","'Not EU' ",45
2006 ,"'B32 The University of Birmingham' ","'UK' ",33065
2006 ,"'B32 The University of Birmingham' ","'EU (excluding UK)' ",2075
2006 ,"'B32 The University of Birmingham' ","'Not EU' ",5180
2006 ,"'B35 University College Birmingham' ","'UK' ",2195
2006 ,"'B35 University College Birmingham' ","'EU (excluding UK)' ",220
2006 ,"'B35 University College Birmingham' ","'Not EU' ",230
2006 ,"'B37 Bishop Burton College' ","'UK' ",385
2006 ,"'B37 Bishop Burton College' ","'EU (excluding UK)' ",15
2006 ,"'B37 Bishop Burton College' ","'Not EU' ",10
2006 ,"'B38 Bishop Grosseteste University' ","'UK' ",1110
2006 ,"'B38 Bishop Grosseteste University' ","'EU (excluding UK)' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'Not EU' ",5
2006 ,"'B40 Blackburn College' ","'UK' ",540
2006 ,"'B40 Blackburn College' ","'EU (excluding UK)' ",10
2006 ,"'B40 Blackburn College' ","'Not EU' ",65
2006 ,"'B41 Blackpool and The Fylde College' ","'UK' ",860
2006 ,"'B41 Blackpool and The Fylde College' ","'EU (excluding UK)' ",25
2006 ,"'B41 Blackpool and The Fylde College' ","'Not EU' ",50
2006 ,"'B44 University of Bolton' ","'UK' ",5460
2006 ,"'B44 University of Bolton' ","'EU (excluding UK)' ",165
2006 ,"'B44 University of Bolton' ","'Not EU' ",360
2006 ,"'B50 Bournemouth University' ","'UK' ",16375
2006 ,"'B50 Bournemouth University' ","'EU (excluding UK)' ",695
2006 ,"'B50 Bournemouth University' ","'Not EU' ",940
2006 ,"'B53 The Arts Institute at Bournemouth' ","'UK' ",3950
2006 ,"'B53 The Arts Institute at Bournemouth' ","'EU (excluding UK)' ",135
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Not EU' ",160
2006 ,"'B56 The University of Bradford' ","'UK' ",10100
2006 ,"'B56 The University of Bradford' ","'EU (excluding UK)' ",915
2006 ,"'B56 The University of Bradford' ","'Not EU' ",2010
2006 ,"'B60 Bradford College' ","'UK' ",1890
2006 ,"'B60 Bradford College' ","'EU (excluding UK)' ",35
2006 ,"'B60 Bradford College' ","'Not EU' ",115
2006 ,"'B70 Bridgwater College' ","'UK' ",85
2006 ,"'B72 University of Brighton' ","'UK' ",20570
2006 ,"'B72 University of Brighton' ","'EU (excluding UK)' ",2195
2006 ,"'B72 University of Brighton' ","'Not EU' ",2080
2006 ,"'B74 Brighton and Sussex Medical School' ","'UK' ",1885
2006 ,"'B74 Brighton and Sussex Medical School' ","'EU (excluding UK)' ",235
2006 ,"'B74 Brighton and Sussex Medical School' ","'Not EU' ",145
2006 ,"'B77 Bristol, City of Bristol College' ","'UK' ",520
2006 ,"'B77 Bristol, City of Bristol College' ","'EU (excluding UK)' ",35
2006 ,"'B77 Bristol, City of Bristol College' ","'Not EU' ",80
2006 ,"'B78 University of Bristol' ","'UK' ",31185
2006 ,"'B78 University of Bristol' ","'EU (excluding UK)' ",2095
