"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_004_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'A20 The University of Aberdeen' ","'England' ",265
2006 ,"'A20 The University of Aberdeen' ","'Northern Ireland' ",65
2006 ,"'A20 The University of Aberdeen' ","'Scotland' ",1450
2006 ,"'A20 The University of Aberdeen' ","'Wales' ",5
2006 ,"'A30 Abertay University' ","'England' ",30
2006 ,"'A30 Abertay University' ","'Northern Ireland' ",50
2006 ,"'A30 Abertay University' ","'Scotland' ",690
2006 ,"'A40 Aberystwyth University' ","'England' ",1025
2006 ,"'A40 Aberystwyth University' ","'Northern Ireland' ",5
2006 ,"'A40 Aberystwyth University' ","'Scotland' ",10
2006 ,"'A40 Aberystwyth University' ","'Wales' ",605
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'Northern Ireland' ",65
2006 ,"'A60 Anglia Ruskin University' ","'England' ",1705
2006 ,"'A60 Anglia Ruskin University' ","'Northern Ireland' ",5
2006 ,"'A60 Anglia Ruskin University' ","'Scotland' ",5
2006 ,"'A60 Anglia Ruskin University' ","'Wales' ",5
2006 ,"'A70 Askham Bryan College' ","'England' ",30
2006 ,"'A80 Aston University, Birmingham' ","'England' ",1480
2006 ,"'A80 Aston University, Birmingham' ","'Northern Ireland' ",5
2006 ,"'A80 Aston University, Birmingham' ","'Wales' ",25
2006 ,"'B06 Bangor University' ","'England' ",905
2006 ,"'B06 Bangor University' ","'Northern Ireland' ",15
2006 ,"'B06 Bangor University' ","'Scotland' ",5
2006 ,"'B06 Bangor University' ","'Wales' ",815
2006 ,"'B11 Barking and Dagenham College' ","'England' ",20
2006 ,"'B15 Basingstoke College of Technology' ","'England' ",10
2006 ,"'B16 University of Bath' ","'England' ",1690
2006 ,"'B16 University of Bath' ","'Northern Ireland' ",15
2006 ,"'B16 University of Bath' ","'Scotland' ",15
2006 ,"'B16 University of Bath' ","'Wales' ",120
2006 ,"'B20 Bath Spa University' ","'England' ",1340
2006 ,"'B20 Bath Spa University' ","'Northern Ireland' ",5
2006 ,"'B20 Bath Spa University' ","'Scotland' ",5
2006 ,"'B20 Bath Spa University' ","'Wales' ",85
2006 ,"'B26 Bell College' ","'Scotland' ",345
2006 ,"'B32 The University of Birmingham' ","'England' ",4180
2006 ,"'B32 The University of Birmingham' ","'Northern Ireland' ",5
