"Statistic:   Number of Applications"
"Variables:   Provider Name , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_004_03.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (High Level),Number of Applications,
2006 ,"'A20 The University of Aberdeen' ","'England' ",2245
2006 ,"'A20 The University of Aberdeen' ","'Northern Ireland' ",800
2006 ,"'A20 The University of Aberdeen' ","'Scotland' ",8720
2006 ,"'A20 The University of Aberdeen' ","'Wales' ",65
2006 ,"'A30 Abertay University' ","'England' ",300
2006 ,"'A30 Abertay University' ","'Northern Ireland' ",390
2006 ,"'A30 Abertay University' ","'Scotland' ",3415
2006 ,"'A30 Abertay University' ","'Wales' ",20
2006 ,"'A40 Aberystwyth University' ","'England' ",5260
2006 ,"'A40 Aberystwyth University' ","'Northern Ireland' ",80
2006 ,"'A40 Aberystwyth University' ","'Scotland' ",50
2006 ,"'A40 Aberystwyth University' ","'Wales' ",2860
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'England' ",15
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'Northern Ireland' ",155
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'Scotland' ",5
2006 ,"'A50 American InterContinental University - London' ","'England' ",180
2006 ,"'A50 American InterContinental University - London' ","'Northern Ireland' ",5
2006 ,"'A50 American InterContinental University - London' ","'Scotland' ",5
2006 ,"'A50 American InterContinental University - London' ","'Wales' ",5
2006 ,"'A60 Anglia Ruskin University' ","'England' ",7990
2006 ,"'A60 Anglia Ruskin University' ","'Northern Ireland' ",55
2006 ,"'A60 Anglia Ruskin University' ","'Scotland' ",50
2006 ,"'A60 Anglia Ruskin University' ","'Wales' ",80
2006 ,"'A70 Askham Bryan College' ","'England' ",150
2006 ,"'A70 Askham Bryan College' ","'Wales' ",5
2006 ,"'A80 Aston University, Birmingham' ","'England' ",10915
2006 ,"'A80 Aston University, Birmingham' ","'Northern Ireland' ",105
2006 ,"'A80 Aston University, Birmingham' ","'Scotland' ",55
2006 ,"'A80 Aston University, Birmingham' ","'Wales' ",265
2006 ,"'B06 Bangor University' ","'England' ",5030
2006 ,"'B06 Bangor University' ","'Northern Ireland' ",160
2006 ,"'B06 Bangor University' ","'Scotland' ",40
2006 ,"'B06 Bangor University' ","'Wales' ",3340
2006 ,"'B11 Barking and Dagenham College' ","'England' ",95
2006 ,"'B12 Barony College' ","'England' ",10
2006 ,"'B12 Barony College' ","'Scotland' ",15
2006 ,"'B15 Basingstoke College of Technology' ","'England' ",60
2006 ,"'B15 Basingstoke College of Technology' ","'Northern Ireland' ",5
2006 ,"'B16 University of Bath' ","'England' ",12880
2006 ,"'B16 University of Bath' ","'Northern Ireland' ",160
2006 ,"'B16 University of Bath' ","'Scotland' ",175
2006 ,"'B16 University of Bath' ","'Wales' ",1035
2006 ,"'B20 Bath Spa University' ","'England' ",8625
2006 ,"'B20 Bath Spa University' ","'Northern Ireland' ",50
2006 ,"'B20 Bath Spa University' ","'Scotland' ",35
2006 ,"'B20 Bath Spa University' ","'Wales' ",735
2006 ,"'B21 Bath College' ","'England' ",25
2006 ,"'B23 Bedford College' ","'England' ",50
2006 ,"'B26 Bell College' ","'England' ",40
2006 ,"'B26 Bell College' ","'Northern Ireland' ",10
2006 ,"'B26 Bell College' ","'Scotland' ",1240
2006 ,"'B26 Bell College' ","'Wales' ",5
2006 ,"'B32 The University of Birmingham' ","'England' ",31475
2006 ,"'B32 The University of Birmingham' ","'Northern Ireland' ",215
2006 ,"'B32 The University of Birmingham' ","'Scotland' ",160
2006 ,"'B32 The University of Birmingham' ","'Wales' ",1220
2006 ,"'B35 University College Birmingham' ","'England' ",2125
2006 ,"'B35 University College Birmingham' ","'Northern Ireland' ",20
2006 ,"'B35 University College Birmingham' ","'Scotland' ",5
2006 ,"'B35 University College Birmingham' ","'Wales' ",50
2006 ,"'B37 Bishop Burton College' ","'England' ",365
2006 ,"'B37 Bishop Burton College' ","'Northern Ireland' ",5
2006 ,"'B37 Bishop Burton College' ","'Scotland' ",10
2006 ,"'B37 Bishop Burton College' ","'Wales' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'England' ",1100
2006 ,"'B38 Bishop Grosseteste University' ","'Northern Ireland' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'Wales' ",5
2006 ,"'B40 Blackburn College' ","'England' ",530
2006 ,"'B40 Blackburn College' ","'Wales' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'England' ",820
2006 ,"'B41 Blackpool and The Fylde College' ","'Northern Ireland' ",15
2006 ,"'B41 Blackpool and The Fylde College' ","'Scotland' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'Wales' ",15
2006 ,"'B44 University of Bolton' ","'England' ",5210
2006 ,"'B44 University of Bolton' ","'Northern Ireland' ",105
2006 ,"'B44 University of Bolton' ","'Scotland' ",20
2006 ,"'B44 University of Bolton' ","'Wales' ",130
2006 ,"'B50 Bournemouth University' ","'England' ",15790
2006 ,"'B50 Bournemouth University' ","'Northern Ireland' ",145
2006 ,"'B50 Bournemouth University' ","'Scotland' ",60
2006 ,"'B50 Bournemouth University' ","'Wales' ",375
2006 ,"'B53 The Arts Institute at Bournemouth' ","'England' ",3760
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Northern Ireland' ",40
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Scotland' ",35
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Wales' ",115
2006 ,"'B56 The University of Bradford' ","'England' ",9810
2006 ,"'B56 The University of Bradford' ","'Northern Ireland' ",100
2006 ,"'B56 The University of Bradford' ","'Scotland' ",65
2006 ,"'B56 The University of Bradford' ","'Wales' ",125
2006 ,"'B60 Bradford College' ","'England' ",1860
2006 ,"'B60 Bradford College' ","'Northern Ireland' ",20
2006 ,"'B60 Bradford College' ","'Scotland' ",5
2006 ,"'B60 Bradford College' ","'Wales' ",10
2006 ,"'B70 Bridgwater College' ","'England' ",85
2006 ,"'B72 University of Brighton' ","'England' ",19975
2006 ,"'B72 University of Brighton' ","'Northern Ireland' ",155
2006 ,"'B72 University of Brighton' ","'Scotland' ",85
2006 ,"'B72 University of Brighton' ","'Wales' ",355
2006 ,"'B74 Brighton and Sussex Medical School' ","'England' ",1770
2006 ,"'B74 Brighton and Sussex Medical School' ","'Northern Ireland' ",25
2006 ,"'B74 Brighton and Sussex Medical School' ","'Scotland' ",20
2006 ,"'B74 Brighton and Sussex Medical School' ","'Wales' ",75
2006 ,"'B77 Bristol, City of Bristol College' ","'England' ",495
2006 ,"'B77 Bristol, City of Bristol College' ","'Wales' ",20
2006 ,"'B78 University of Bristol' ","'England' ",28055
2006 ,"'B78 University of Bristol' ","'Northern Ireland' ",385
2006 ,"'B78 University of Bristol' ","'Scotland' ",420
2006 ,"'B78 University of Bristol' ","'Wales' ",2320
2006 ,"'B79 Bristol Filton College' ","'England' ",140
2006 ,"'B79 Bristol Filton College' ","'Wales' ",10
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'England' ",21310
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Northern Ireland' ",180
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Scotland' ",100
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Wales' ",2425
2006 ,"'B81 British College of Osteopathic Medicine' ","'England' ",160
2006 ,"'B81 British College of Osteopathic Medicine' ","'Scotland' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'England' ",90
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'Wales' ",5
2006 ,"'B83 Brooklands College' ","'England' ",10
2006 ,"'B84 Brunel University London' ","'England' ",20470
2006 ,"'B84 Brunel University London' ","'Northern Ireland' ",45
2006 ,"'B84 Brunel University London' ","'Scotland' ",50
2006 ,"'B84 Brunel University London' ","'Wales' ",145
2006 ,"'B87 British School of Osteopathy' ","'England' ",210
2006 ,"'B87 British School of Osteopathy' ","'Northern Ireland' ",5
2006 ,"'B87 British School of Osteopathy' ","'Scotland' ",5
2006 ,"'B87 British School of Osteopathy' ","'Wales' ",5
2006 ,"'B88 Brockenhurst College' ","'England' ",20
2006 ,"'B89 Broxtowe College, Nottingham' ","'England' ",20
2006 ,"'B90 The University of Buckingham' ","'England' ",380
2006 ,"'B90 The University of Buckingham' ","'Scotland' ",5
2006 ,"'B90 The University of Buckingham' ","'Wales' ",5
2006 ,"'B94 Buckinghamshire New University' ","'England' ",5575
2006 ,"'B94 Buckinghamshire New University' ","'Northern Ireland' ",85
2006 ,"'B94 Buckinghamshire New University' ","'Scotland' ",65
2006 ,"'B94 Buckinghamshire New University' ","'Wales' ",100
2006 ,"'C05 University of Cambridge' ","'England' ",9625
2006 ,"'C05 University of Cambridge' ","'Northern Ireland' ",200
2006 ,"'C05 University of Cambridge' ","'Scotland' ",335
2006 ,"'C05 University of Cambridge' ","'Wales' ",330
2006 ,"'C10 Canterbury Christ Church University' ","'England' ",8480
2006 ,"'C10 Canterbury Christ Church University' ","'Northern Ireland' ",60
2006 ,"'C10 Canterbury Christ Church University' ","'Scotland' ",20
2006 ,"'C10 Canterbury Christ Church University' ","'Wales' ",95
2006 ,"'C13 Capel Manor College' ","'England' ",10
2006 ,"'C15 Cardiff University' ","'England' ",21225
2006 ,"'C15 Cardiff University' ","'Northern Ireland' ",550
2006 ,"'C15 Cardiff University' ","'Scotland' ",175
2006 ,"'C15 Cardiff University' ","'Wales' ",9320
2006 ,"'C20 Cardiff Metropolitan University' ","'England' ",4935
2006 ,"'C20 Cardiff Metropolitan University' ","'Northern Ireland' ",130
2006 ,"'C20 Cardiff Metropolitan University' ","'Scotland' ",30
2006 ,"'C20 Cardiff Metropolitan University' ","'Wales' ",5220
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'England' ",70
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'Northern Ireland' ",10
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'Wales' ",245
2006 ,"'C24 Carshalton College' ","'England' ",5
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'England' ",14910
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Northern Ireland' ",95
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Scotland' ",50
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Wales' ",400
2006 ,"'C26 CECOS London College of IT and Management' ","'England' ",35
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'England' ",17185
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Northern Ireland' ",360
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Scotland' ",155
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Wales' ",390
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'England' ",3785
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Northern Ireland' ",50
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Scotland' ",120
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Wales' ",190
2006 ,"'C55 University of Chester' ","'England' ",14195
2006 ,"'C55 University of Chester' ","'Northern Ireland' ",320
2006 ,"'C55 University of Chester' ","'Scotland' ",90
2006 ,"'C55 University of Chester' ","'Wales' ",1465
2006 ,"'C56 Chesterfield College' ","'England' ",90
