"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (Region) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_005_01.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (Region),Number of Acceptances,
2006 ,"'A20 The University of Aberdeen' ","'North East' ",35
2006 ,"'A20 The University of Aberdeen' ","'Yorkshire and The Humber' ",35
2006 ,"'A20 The University of Aberdeen' ","'North West' ",50
2006 ,"'A20 The University of Aberdeen' ","'East Midlands' ",15
2006 ,"'A20 The University of Aberdeen' ","'West Midlands' ",20
2006 ,"'A20 The University of Aberdeen' ","'East of England' ",35
2006 ,"'A20 The University of Aberdeen' ","'London' ",55
2006 ,"'A20 The University of Aberdeen' ","'South East' ",60
2006 ,"'A20 The University of Aberdeen' ","'South West' ",30
2006 ,"'A20 The University of Aberdeen' ","'Wales' ",5
2006 ,"'A20 The University of Aberdeen' ","'Scotland' ",1685
2006 ,"'A20 The University of Aberdeen' ","'Northern Ireland' ",75
2006 ,"'A30 Abertay University' ","'North East' ",5
2006 ,"'A30 Abertay University' ","'Yorkshire and The Humber' ",5
2006 ,"'A30 Abertay University' ","'North West' ",10
2006 ,"'A30 Abertay University' ","'East Midlands' ",5
2006 ,"'A30 Abertay University' ","'West Midlands' ",5
2006 ,"'A30 Abertay University' ","'South East' ",10
2006 ,"'A30 Abertay University' ","'South West' ",5
2006 ,"'A30 Abertay University' ","'Scotland' ",840
2006 ,"'A30 Abertay University' ","'Northern Ireland' ",60
2006 ,"'A40 Aberystwyth University' ","'North East' ",10
2006 ,"'A40 Aberystwyth University' ","'Yorkshire and The Humber' ",65
2006 ,"'A40 Aberystwyth University' ","'North West' ",95
2006 ,"'A40 Aberystwyth University' ","'East Midlands' ",90
2006 ,"'A40 Aberystwyth University' ","'West Midlands' ",360
2006 ,"'A40 Aberystwyth University' ","'East of England' ",95
2006 ,"'A40 Aberystwyth University' ","'London' ",70
