"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (Region) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_005_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (Region),Number of Acceptances,
2006 ,"'A20 The University of Aberdeen' ","'North East' ",30
2006 ,"'A20 The University of Aberdeen' ","'Yorkshire and The Humber' ",30
2006 ,"'A20 The University of Aberdeen' ","'North West' ",40
2006 ,"'A20 The University of Aberdeen' ","'East Midlands' ",10
2006 ,"'A20 The University of Aberdeen' ","'West Midlands' ",15
2006 ,"'A20 The University of Aberdeen' ","'East of England' ",35
2006 ,"'A20 The University of Aberdeen' ","'London' ",35
2006 ,"'A20 The University of Aberdeen' ","'South East' ",50
2006 ,"'A20 The University of Aberdeen' ","'South West' ",25
2006 ,"'A20 The University of Aberdeen' ","'Wales' ",5
2006 ,"'A20 The University of Aberdeen' ","'Scotland' ",1450
2006 ,"'A20 The University of Aberdeen' ","'Northern Ireland' ",65
2006 ,"'A30 Abertay University' ","'North East' ",5
2006 ,"'A30 Abertay University' ","'Yorkshire and The Humber' ",5
2006 ,"'A30 Abertay University' ","'North West' ",5
2006 ,"'A30 Abertay University' ","'South East' ",5
2006 ,"'A30 Abertay University' ","'South West' ",5
2006 ,"'A30 Abertay University' ","'Scotland' ",690
2006 ,"'A30 Abertay University' ","'Northern Ireland' ",50
2006 ,"'A40 Aberystwyth University' ","'North East' ",10
2006 ,"'A40 Aberystwyth University' ","'Yorkshire and The Humber' ",60
2006 ,"'A40 Aberystwyth University' ","'North West' ",90
2006 ,"'A40 Aberystwyth University' ","'East Midlands' ",85
2006 ,"'A40 Aberystwyth University' ","'West Midlands' ",325
2006 ,"'A40 Aberystwyth University' ","'East of England' ",85
2006 ,"'A40 Aberystwyth University' ","'London' ",60
2006 ,"'A40 Aberystwyth University' ","'South East' ",160
2006 ,"'A40 Aberystwyth University' ","'South West' ",150
2006 ,"'A40 Aberystwyth University' ","'Wales' ",605
2006 ,"'A40 Aberystwyth University' ","'Scotland' ",10
2006 ,"'A40 Aberystwyth University' ","'Northern Ireland' ",5
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'Northern Ireland' ",65
2006 ,"'A60 Anglia Ruskin University' ","'North East' ",10
2006 ,"'A60 Anglia Ruskin University' ","'Yorkshire and The Humber' ",25
2006 ,"'A60 Anglia Ruskin University' ","'North West' ",20
2006 ,"'A60 Anglia Ruskin University' ","'East Midlands' ",50
2006 ,"'A60 Anglia Ruskin University' ","'West Midlands' ",30
2006 ,"'A60 Anglia Ruskin University' ","'East of England' ",1270
2006 ,"'A60 Anglia Ruskin University' ","'London' ",165
2006 ,"'A60 Anglia Ruskin University' ","'South East' ",100
2006 ,"'A60 Anglia Ruskin University' ","'South West' ",40
2006 ,"'A60 Anglia Ruskin University' ","'Wales' ",5
2006 ,"'A60 Anglia Ruskin University' ","'Scotland' ",5
2006 ,"'A60 Anglia Ruskin University' ","'Northern Ireland' ",5
2006 ,"'A70 Askham Bryan College' ","'Yorkshire and The Humber' ",25
2006 ,"'A80 Aston University, Birmingham' ","'North East' ",15
2006 ,"'A80 Aston University, Birmingham' ","'Yorkshire and The Humber' ",60
2006 ,"'A80 Aston University, Birmingham' ","'North West' ",65
2006 ,"'A80 Aston University, Birmingham' ","'East Midlands' ",155
