"Statistic:   Number of Applications"
"Variables:   Provider Name , Applicant Domicile (Region) , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_005_03.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (Region),Number of Applications,
2006 ,"'A20 The University of Aberdeen' ","'North East' ",260
2006 ,"'A20 The University of Aberdeen' ","'Yorkshire and The Humber' ",230
2006 ,"'A20 The University of Aberdeen' ","'North West' ",350
2006 ,"'A20 The University of Aberdeen' ","'East Midlands' ",150
2006 ,"'A20 The University of Aberdeen' ","'West Midlands' ",190
2006 ,"'A20 The University of Aberdeen' ","'East of England' ",240
2006 ,"'A20 The University of Aberdeen' ","'London' ",295
2006 ,"'A20 The University of Aberdeen' ","'South East' ",350
2006 ,"'A20 The University of Aberdeen' ","'South West' ",175
2006 ,"'A20 The University of Aberdeen' ","'Wales' ",65
2006 ,"'A20 The University of Aberdeen' ","'Scotland' ",8720
2006 ,"'A20 The University of Aberdeen' ","'Northern Ireland' ",800
2006 ,"'A20 The University of Aberdeen' ","'Unknown' ",5
2006 ,"'A30 Abertay University' ","'North East' ",40
2006 ,"'A30 Abertay University' ","'Yorkshire and The Humber' ",30
2006 ,"'A30 Abertay University' ","'North West' ",45
2006 ,"'A30 Abertay University' ","'East Midlands' ",25
2006 ,"'A30 Abertay University' ","'West Midlands' ",20
2006 ,"'A30 Abertay University' ","'East of England' ",35
2006 ,"'A30 Abertay University' ","'London' ",25
2006 ,"'A30 Abertay University' ","'South East' ",45
2006 ,"'A30 Abertay University' ","'South West' ",25
2006 ,"'A30 Abertay University' ","'Wales' ",20
2006 ,"'A30 Abertay University' ","'Scotland' ",3415
2006 ,"'A30 Abertay University' ","'Northern Ireland' ",390
2006 ,"'A30 Abertay University' ","'Unknown' ",5
2006 ,"'A40 Aberystwyth University' ","'North East' ",90
2006 ,"'A40 Aberystwyth University' ","'Yorkshire and The Humber' ",260
2006 ,"'A40 Aberystwyth University' ","'North West' ",640
2006 ,"'A40 Aberystwyth University' ","'East Midlands' ",360
2006 ,"'A40 Aberystwyth University' ","'West Midlands' ",1405
2006 ,"'A40 Aberystwyth University' ","'East of England' ",460
2006 ,"'A40 Aberystwyth University' ","'London' ",270
2006 ,"'A40 Aberystwyth University' ","'South East' ",920
2006 ,"'A40 Aberystwyth University' ","'South West' ",855
2006 ,"'A40 Aberystwyth University' ","'Wales' ",2860
2006 ,"'A40 Aberystwyth University' ","'Scotland' ",50
2006 ,"'A40 Aberystwyth University' ","'Northern Ireland' ",80
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'East of England' ",5
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'Scotland' ",5
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'Northern Ireland' ",155
2006 ,"'A50 American InterContinental University - London' ","'North East' ",5
2006 ,"'A50 American InterContinental University - London' ","'Yorkshire and The Humber' ",5
2006 ,"'A50 American InterContinental University - London' ","'North West' ",10
2006 ,"'A50 American InterContinental University - London' ","'West Midlands' ",5
2006 ,"'A50 American InterContinental University - London' ","'East of England' ",15
2006 ,"'A50 American InterContinental University - London' ","'London' ",100
2006 ,"'A50 American InterContinental University - London' ","'South East' ",25
2006 ,"'A50 American InterContinental University - London' ","'South West' ",10
2006 ,"'A50 American InterContinental University - London' ","'Wales' ",5
2006 ,"'A50 American InterContinental University - London' ","'Scotland' ",5
2006 ,"'A50 American InterContinental University - London' ","'Northern Ireland' ",5
2006 ,"'A60 Anglia Ruskin University' ","'North East' ",65
2006 ,"'A60 Anglia Ruskin University' ","'Yorkshire and The Humber' ",170
2006 ,"'A60 Anglia Ruskin University' ","'North West' ",170
2006 ,"'A60 Anglia Ruskin University' ","'East Midlands' ",360
2006 ,"'A60 Anglia Ruskin University' ","'West Midlands' ",280
2006 ,"'A60 Anglia Ruskin University' ","'East of England' ",4845
2006 ,"'A60 Anglia Ruskin University' ","'London' ",1110
2006 ,"'A60 Anglia Ruskin University' ","'South East' ",715
2006 ,"'A60 Anglia Ruskin University' ","'South West' ",265
2006 ,"'A60 Anglia Ruskin University' ","'Wales' ",80
2006 ,"'A60 Anglia Ruskin University' ","'Scotland' ",50
2006 ,"'A60 Anglia Ruskin University' ","'Northern Ireland' ",55
2006 ,"'A60 Anglia Ruskin University' ","'Unknown' ",5
2006 ,"'A70 Askham Bryan College' ","'North East' ",10
2006 ,"'A70 Askham Bryan College' ","'Yorkshire and The Humber' ",85
2006 ,"'A70 Askham Bryan College' ","'North West' ",15
2006 ,"'A70 Askham Bryan College' ","'East Midlands' ",10
2006 ,"'A70 Askham Bryan College' ","'West Midlands' ",5
2006 ,"'A70 Askham Bryan College' ","'East of England' ",5
2006 ,"'A70 Askham Bryan College' ","'London' ",10
2006 ,"'A70 Askham Bryan College' ","'South East' ",10
2006 ,"'A70 Askham Bryan College' ","'South West' ",5
2006 ,"'A70 Askham Bryan College' ","'Wales' ",5
2006 ,"'A80 Aston University, Birmingham' ","'North East' ",165
2006 ,"'A80 Aston University, Birmingham' ","'Yorkshire and The Humber' ",545
2006 ,"'A80 Aston University, Birmingham' ","'North West' ",785
2006 ,"'A80 Aston University, Birmingham' ","'East Midlands' ",1120
2006 ,"'A80 Aston University, Birmingham' ","'West Midlands' ",4220
2006 ,"'A80 Aston University, Birmingham' ","'East of England' ",825
2006 ,"'A80 Aston University, Birmingham' ","'London' ",1635
2006 ,"'A80 Aston University, Birmingham' ","'South East' ",1100
2006 ,"'A80 Aston University, Birmingham' ","'South West' ",510
2006 ,"'A80 Aston University, Birmingham' ","'Wales' ",265
2006 ,"'A80 Aston University, Birmingham' ","'Scotland' ",55
2006 ,"'A80 Aston University, Birmingham' ","'Northern Ireland' ",105
2006 ,"'A80 Aston University, Birmingham' ","'Unknown' ",5
2006 ,"'B06 Bangor University' ","'North East' ",115
2006 ,"'B06 Bangor University' ","'Yorkshire and The Humber' ",380
2006 ,"'B06 Bangor University' ","'North West' ",1405
2006 ,"'B06 Bangor University' ","'East Midlands' ",345
2006 ,"'B06 Bangor University' ","'West Midlands' ",880
2006 ,"'B06 Bangor University' ","'East of England' ",420
2006 ,"'B06 Bangor University' ","'London' ",210
2006 ,"'B06 Bangor University' ","'South East' ",630
2006 ,"'B06 Bangor University' ","'South West' ",645
2006 ,"'B06 Bangor University' ","'Wales' ",3340
2006 ,"'B06 Bangor University' ","'Scotland' ",40
2006 ,"'B06 Bangor University' ","'Northern Ireland' ",160
2006 ,"'B11 Barking and Dagenham College' ","'East of England' ",10
2006 ,"'B11 Barking and Dagenham College' ","'London' ",70
2006 ,"'B11 Barking and Dagenham College' ","'South East' ",10
2006 ,"'B12 Barony College' ","'Yorkshire and The Humber' ",5
2006 ,"'B12 Barony College' ","'North West' ",5
2006 ,"'B12 Barony College' ","'Scotland' ",15
2006 ,"'B15 Basingstoke College of Technology' ","'East of England' ",5
2006 ,"'B15 Basingstoke College of Technology' ","'South East' ",50
2006 ,"'B15 Basingstoke College of Technology' ","'Northern Ireland' ",5
2006 ,"'B16 University of Bath' ","'North East' ",165
2006 ,"'B16 University of Bath' ","'Yorkshire and The Humber' ",475
2006 ,"'B16 University of Bath' ","'North West' ",780
2006 ,"'B16 University of Bath' ","'East Midlands' ",680
2006 ,"'B16 University of Bath' ","'West Midlands' ",1095
2006 ,"'B16 University of Bath' ","'East of England' ",1420
2006 ,"'B16 University of Bath' ","'London' ",2090
2006 ,"'B16 University of Bath' ","'South East' ",3440
2006 ,"'B16 University of Bath' ","'South West' ",2725
2006 ,"'B16 University of Bath' ","'Wales' ",1035
2006 ,"'B16 University of Bath' ","'Scotland' ",175
2006 ,"'B16 University of Bath' ","'Northern Ireland' ",160
2006 ,"'B16 University of Bath' ","'Unknown' ",5
2006 ,"'B20 Bath Spa University' ","'North East' ",70
2006 ,"'B20 Bath Spa University' ","'Yorkshire and The Humber' ",215
2006 ,"'B20 Bath Spa University' ","'North West' ",305
2006 ,"'B20 Bath Spa University' ","'East Midlands' ",365
2006 ,"'B20 Bath Spa University' ","'West Midlands' ",635
2006 ,"'B20 Bath Spa University' ","'East of England' ",850
2006 ,"'B20 Bath Spa University' ","'London' ",690
2006 ,"'B20 Bath Spa University' ","'South East' ",1940
2006 ,"'B20 Bath Spa University' ","'South West' ",3550
2006 ,"'B20 Bath Spa University' ","'Wales' ",735
2006 ,"'B20 Bath Spa University' ","'Scotland' ",35
2006 ,"'B20 Bath Spa University' ","'Northern Ireland' ",50
2006 ,"'B20 Bath Spa University' ","'Unknown' ",5
2006 ,"'B21 Bath College' ","'South West' ",20
2006 ,"'B23 Bedford College' ","'East Midlands' ",5
2006 ,"'B23 Bedford College' ","'East of England' ",25
2006 ,"'B23 Bedford College' ","'London' ",5
2006 ,"'B23 Bedford College' ","'South East' ",10
2006 ,"'B26 Bell College' ","'North West' ",5
2006 ,"'B26 Bell College' ","'East of England' ",5
2006 ,"'B26 Bell College' ","'London' ",10
2006 ,"'B26 Bell College' ","'South East' ",5
2006 ,"'B26 Bell College' ","'South West' ",5
2006 ,"'B26 Bell College' ","'Wales' ",5
2006 ,"'B26 Bell College' ","'Scotland' ",1240
2006 ,"'B26 Bell College' ","'Northern Ireland' ",10
2006 ,"'B32 The University of Birmingham' ","'North East' ",335
2006 ,"'B32 The University of Birmingham' ","'Yorkshire and The Humber' ",1610
2006 ,"'B32 The University of Birmingham' ","'North West' ",2545
2006 ,"'B32 The University of Birmingham' ","'East Midlands' ",3180
2006 ,"'B32 The University of Birmingham' ","'West Midlands' ",9405
2006 ,"'B32 The University of Birmingham' ","'East of England' ",2730
2006 ,"'B32 The University of Birmingham' ","'London' ",4435
2006 ,"'B32 The University of Birmingham' ","'South East' ",4325
2006 ,"'B32 The University of Birmingham' ","'South West' ",2895
2006 ,"'B32 The University of Birmingham' ","'Wales' ",1220
