"Statistic:   Number of Applications"
"Variables:   Provider Name , Age Band , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_006_03.pdf"
 
Cycle Year,Provider Name , Age Band,Number of Applications,
2006 ,"'A20 The University of Aberdeen' ","'17 and under' ",475
2006 ,"'A20 The University of Aberdeen' ","'18' ",9165
2006 ,"'A20 The University of Aberdeen' ","'19' ",2140
2006 ,"'A20 The University of Aberdeen' ","'20' ",875
2006 ,"'A20 The University of Aberdeen' ","'21 and over' ",2260
2006 ,"'A30 Abertay University' ","'17 and under' ",145
2006 ,"'A30 Abertay University' ","'18' ",2515
2006 ,"'A30 Abertay University' ","'19' ",565
2006 ,"'A30 Abertay University' ","'20' ",385
2006 ,"'A30 Abertay University' ","'21 and over' ",1050
2006 ,"'A40 Aberystwyth University' ","'17 and under' ",60
2006 ,"'A40 Aberystwyth University' ","'18' ",6770
2006 ,"'A40 Aberystwyth University' ","'19' ",1140
2006 ,"'A40 Aberystwyth University' ","'20' ",445
2006 ,"'A40 Aberystwyth University' ","'21 and over' ",865
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'17 and under' ",15
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'18' ",145
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'19' ",25
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'20' ",10
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'21 and over' ",50
2006 ,"'A50 American InterContinental University - London' ","'17 and under' ",15
2006 ,"'A50 American InterContinental University - London' ","'18' ",130
2006 ,"'A50 American InterContinental University - London' ","'19' ",80
2006 ,"'A50 American InterContinental University - London' ","'20' ",25
2006 ,"'A50 American InterContinental University - London' ","'21 and over' ",100
2006 ,"'A60 Anglia Ruskin University' ","'17 and under' ",60
2006 ,"'A60 Anglia Ruskin University' ","'18' ",4300
2006 ,"'A60 Anglia Ruskin University' ","'19' ",1500
2006 ,"'A60 Anglia Ruskin University' ","'20' ",665
2006 ,"'A60 Anglia Ruskin University' ","'21 and over' ",2710
2006 ,"'A70 Askham Bryan College' ","'18' ",90
2006 ,"'A70 Askham Bryan College' ","'19' ",30
2006 ,"'A70 Askham Bryan College' ","'20' ",20
2006 ,"'A70 Askham Bryan College' ","'21 and over' ",55
2006 ,"'A80 Aston University, Birmingham' ","'17 and under' ",285
2006 ,"'A80 Aston University, Birmingham' ","'18' ",8710
2006 ,"'A80 Aston University, Birmingham' ","'19' ",2660
2006 ,"'A80 Aston University, Birmingham' ","'20' ",930
2006 ,"'A80 Aston University, Birmingham' ","'21 and over' ",1720
2006 ,"'B06 Bangor University' ","'17 and under' ",85
2006 ,"'B06 Bangor University' ","'18' ",6555
2006 ,"'B06 Bangor University' ","'19' ",1040
2006 ,"'B06 Bangor University' ","'20' ",415
2006 ,"'B06 Bangor University' ","'21 and over' ",1260
2006 ,"'B11 Barking and Dagenham College' ","'18' ",35
2006 ,"'B11 Barking and Dagenham College' ","'19' ",30
2006 ,"'B11 Barking and Dagenham College' ","'20' ",10
2006 ,"'B11 Barking and Dagenham College' ","'21 and over' ",50
2006 ,"'B12 Barony College' ","'18' ",25
2006 ,"'B12 Barony College' ","'19' ",5
2006 ,"'B12 Barony College' ","'21 and over' ",5
2006 ,"'B15 Basingstoke College of Technology' ","'18' ",30
2006 ,"'B15 Basingstoke College of Technology' ","'19' ",20
2006 ,"'B15 Basingstoke College of Technology' ","'20' ",5
2006 ,"'B15 Basingstoke College of Technology' ","'21 and over' ",15
2006 ,"'B16 University of Bath' ","'17 and under' ",780
2006 ,"'B16 University of Bath' ","'18' ",13630
2006 ,"'B16 University of Bath' ","'19' ",3005
2006 ,"'B16 University of Bath' ","'20' ",1035
2006 ,"'B16 University of Bath' ","'21 and over' ",1540
2006 ,"'B20 Bath Spa University' ","'17 and under' ",50
2006 ,"'B20 Bath Spa University' ","'18' ",6050
2006 ,"'B20 Bath Spa University' ","'19' ",1940
2006 ,"'B20 Bath Spa University' ","'20' ",710
2006 ,"'B20 Bath Spa University' ","'21 and over' ",1210
2006 ,"'B21 Bath College' ","'18' ",15
2006 ,"'B21 Bath College' ","'19' ",5
2006 ,"'B21 Bath College' ","'20' ",5
2006 ,"'B21 Bath College' ","'21 and over' ",15
2006 ,"'B23 Bedford College' ","'18' ",30
2006 ,"'B23 Bedford College' ","'19' ",10
2006 ,"'B23 Bedford College' ","'20' ",10
2006 ,"'B23 Bedford College' ","'21 and over' ",20
2006 ,"'B26 Bell College' ","'17 and under' ",45
2006 ,"'B26 Bell College' ","'18' ",770
2006 ,"'B26 Bell College' ","'19' ",140
2006 ,"'B26 Bell College' ","'20' ",65
2006 ,"'B26 Bell College' ","'21 and over' ",330
2006 ,"'B32 The University of Birmingham' ","'17 and under' ",810
2006 ,"'B32 The University of Birmingham' ","'18' ",26025
2006 ,"'B32 The University of Birmingham' ","'19' ",5950
