"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Age Band , Sex , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_008_01.pdf"
 
Cycle Year,Provider Name , Age Band , Sex,Number of Acceptances,
2006 ,"'A20 The University of Aberdeen' ","'17 and under' ","'Men' ",25
2006 ,"'A20 The University of Aberdeen' ","'17 and under' ","'Women' ",35
2006 ,"'A20 The University of Aberdeen' ","'18' ","'Men' ",600
2006 ,"'A20 The University of Aberdeen' ","'18' ","'Women' ",765
2006 ,"'A20 The University of Aberdeen' ","'19' ","'Men' ",190
2006 ,"'A20 The University of Aberdeen' ","'19' ","'Women' ",215
2006 ,"'A20 The University of Aberdeen' ","'20' ","'Men' ",90
2006 ,"'A20 The University of Aberdeen' ","'20' ","'Women' ",80
2006 ,"'A20 The University of Aberdeen' ","'21 and over' ","'Men' ",305
2006 ,"'A20 The University of Aberdeen' ","'21 and over' ","'Women' ",260
2006 ,"'A30 Abertay University' ","'17 and under' ","'Men' ",10
2006 ,"'A30 Abertay University' ","'17 and under' ","'Women' ",15
2006 ,"'A30 Abertay University' ","'18' ","'Men' ",215
2006 ,"'A30 Abertay University' ","'18' ","'Women' ",200
2006 ,"'A30 Abertay University' ","'19' ","'Men' ",60
2006 ,"'A30 Abertay University' ","'19' ","'Women' ",60
2006 ,"'A30 Abertay University' ","'20' ","'Men' ",65
2006 ,"'A30 Abertay University' ","'20' ","'Women' ",50
2006 ,"'A30 Abertay University' ","'21 and over' ","'Men' ",180
2006 ,"'A30 Abertay University' ","'21 and over' ","'Women' ",165
2006 ,"'A40 Aberystwyth University' ","'17 and under' ","'Women' ",10
2006 ,"'A40 Aberystwyth University' ","'18' ","'Men' ",685
2006 ,"'A40 Aberystwyth University' ","'18' ","'Women' ",700
2006 ,"'A40 Aberystwyth University' ","'19' ","'Men' ",170
2006 ,"'A40 Aberystwyth University' ","'19' ","'Women' ",125
2006 ,"'A40 Aberystwyth University' ","'20' ","'Men' ",75
2006 ,"'A40 Aberystwyth University' ","'20' ","'Women' ",55
2006 ,"'A40 Aberystwyth University' ","'21 and over' ","'Men' ",200
2006 ,"'A40 Aberystwyth University' ","'21 and over' ","'Women' ",120
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'17 and under' ","'Men' ",5
