"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Age Band , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_009_01.pdf"
 
Cycle Year,Provider Name , Age Band,Number of Acceptances,
2006 ,"'A20 The University of Aberdeen' ","'17 and under' ",45
2006 ,"'A20 The University of Aberdeen' ","'18' ",1275
2006 ,"'A20 The University of Aberdeen' ","'19' ",305
2006 ,"'A20 The University of Aberdeen' ","'20' ",110
2006 ,"'A20 The University of Aberdeen' ","'21 and over' ",360
2006 ,"'A30 Abertay University' ","'17 and under' ",20
2006 ,"'A30 Abertay University' ","'18' ",395
2006 ,"'A30 Abertay University' ","'19' ",115
2006 ,"'A30 Abertay University' ","'20' ",105
2006 ,"'A30 Abertay University' ","'21 and over' ",310
2006 ,"'A40 Aberystwyth University' ","'17 and under' ",5
2006 ,"'A40 Aberystwyth University' ","'18' ",1345
2006 ,"'A40 Aberystwyth University' ","'19' ",225
2006 ,"'A40 Aberystwyth University' ","'20' ",80
2006 ,"'A40 Aberystwyth University' ","'21 and over' ",200
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'17 and under' ",5
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'18' ",45
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'19' ",15
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'20' ",10
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'21 and over' ",20
2006 ,"'A60 Anglia Ruskin University' ","'18' ",855
2006 ,"'A60 Anglia Ruskin University' ","'19' ",350
2006 ,"'A60 Anglia Ruskin University' ","'20' ",150
2006 ,"'A60 Anglia Ruskin University' ","'21 and over' ",710
2006 ,"'A70 Askham Bryan College' ","'18' ",10
2006 ,"'A70 Askham Bryan College' ","'19' ",5
2006 ,"'A70 Askham Bryan College' ","'20' ",5
2006 ,"'A70 Askham Bryan College' ","'21 and over' ",10
2006 ,"'A80 Aston University, Birmingham' ","'17 and under' ",5
2006 ,"'A80 Aston University, Birmingham' ","'18' ",1220
2006 ,"'A80 Aston University, Birmingham' ","'19' ",330
2006 ,"'A80 Aston University, Birmingham' ","'20' ",105
2006 ,"'A80 Aston University, Birmingham' ","'21 and over' ",180
2006 ,"'B06 Bangor University' ","'17 and under' ",5
2006 ,"'B06 Bangor University' ","'18' ",1260
2006 ,"'B06 Bangor University' ","'19' ",230
2006 ,"'B06 Bangor University' ","'20' ",100
2006 ,"'B06 Bangor University' ","'21 and over' ",390
2006 ,"'B11 Barking and Dagenham College' ","'18' ",5
2006 ,"'B11 Barking and Dagenham College' ","'19' ",10
2006 ,"'B11 Barking and Dagenham College' ","'21 and over' ",15
2006 ,"'B12 Barony College' ","'17 and under' ",5
2006 ,"'B12 Barony College' ","'18' ",15
2006 ,"'B12 Barony College' ","'19' ",10
2006 ,"'B12 Barony College' ","'20' ",5
2006 ,"'B12 Barony College' ","'21 and over' ",25
2006 ,"'B15 Basingstoke College of Technology' ","'18' ",5
2006 ,"'B15 Basingstoke College of Technology' ","'19' ",5
2006 ,"'B16 University of Bath' ","'17 and under' ",20
2006 ,"'B16 University of Bath' ","'18' ",1585
2006 ,"'B16 University of Bath' ","'19' ",200
2006 ,"'B16 University of Bath' ","'20' ",60
2006 ,"'B16 University of Bath' ","'21 and over' ",180
2006 ,"'B20 Bath Spa University' ","'17 and under' ",5
2006 ,"'B20 Bath Spa University' ","'18' ",745
2006 ,"'B20 Bath Spa University' ","'19' ",340
2006 ,"'B20 Bath Spa University' ","'20' ",135
2006 ,"'B20 Bath Spa University' ","'21 and over' ",355
2006 ,"'B26 Bell College' ","'17 and under' ",20
2006 ,"'B26 Bell College' ","'18' ",255
2006 ,"'B26 Bell College' ","'19' ",50
2006 ,"'B26 Bell College' ","'20' ",15
2006 ,"'B26 Bell College' ","'21 and over' ",110
2006 ,"'B32 The University of Birmingham' ","'17 and under' ",25
2006 ,"'B32 The University of Birmingham' ","'18' ",3525
2006 ,"'B32 The University of Birmingham' ","'19' ",510
2006 ,"'B32 The University of Birmingham' ","'20' ",110
2006 ,"'B32 The University of Birmingham' ","'21 and over' ",455
2006 ,"'B35 University College Birmingham' ","'18' ",330
2006 ,"'B35 University College Birmingham' ","'19' ",175
2006 ,"'B35 University College Birmingham' ","'20' ",105
2006 ,"'B35 University College Birmingham' ","'21 and over' ",180
2006 ,"'B37 Bishop Burton College' ","'18' ",85
2006 ,"'B37 Bishop Burton College' ","'19' ",30
2006 ,"'B37 Bishop Burton College' ","'20' ",15
2006 ,"'B37 Bishop Burton College' ","'21 and over' ",45
2006 ,"'B38 Bishop Grosseteste University' ","'18' ",210
2006 ,"'B38 Bishop Grosseteste University' ","'19' ",50
2006 ,"'B38 Bishop Grosseteste University' ","'20' ",15
2006 ,"'B38 Bishop Grosseteste University' ","'21 and over' ",115
2006 ,"'B40 Blackburn College' ","'18' ",65
2006 ,"'B40 Blackburn College' ","'19' ",65
2006 ,"'B40 Blackburn College' ","'20' ",35
2006 ,"'B40 Blackburn College' ","'21 and over' ",250
2006 ,"'B41 Blackpool and The Fylde College' ","'17 and under' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'18' ",165
2006 ,"'B41 Blackpool and The Fylde College' ","'19' ",110
2006 ,"'B41 Blackpool and The Fylde College' ","'20' ",50
2006 ,"'B41 Blackpool and The Fylde College' ","'21 and over' ",385
2006 ,"'B44 University of Bolton' ","'18' ",300
2006 ,"'B44 University of Bolton' ","'19' ",160
2006 ,"'B44 University of Bolton' ","'20' ",70
2006 ,"'B44 University of Bolton' ","'21 and over' ",120
2006 ,"'B50 Bournemouth University' ","'17 and under' ",10
2006 ,"'B50 Bournemouth University' ","'18' ",1830
2006 ,"'B50 Bournemouth University' ","'19' ",495
2006 ,"'B50 Bournemouth University' ","'20' ",245
2006 ,"'B50 Bournemouth University' ","'21 and over' ",625
2006 ,"'B53 The Arts Institute at Bournemouth' ","'18' ",190
2006 ,"'B53 The Arts Institute at Bournemouth' ","'19' ",250
2006 ,"'B53 The Arts Institute at Bournemouth' ","'20' ",70
2006 ,"'B53 The Arts Institute at Bournemouth' ","'21 and over' ",80
2006 ,"'B56 The University of Bradford' ","'17 and under' ",5
2006 ,"'B56 The University of Bradford' ","'18' ",945
2006 ,"'B56 The University of Bradford' ","'19' ",430
2006 ,"'B56 The University of Bradford' ","'20' ",130
2006 ,"'B56 The University of Bradford' ","'21 and over' ",450
2006 ,"'B60 Bradford College' ","'18' ",155
2006 ,"'B60 Bradford College' ","'19' ",125
2006 ,"'B60 Bradford College' ","'20' ",75
2006 ,"'B60 Bradford College' ","'21 and over' ",280
2006 ,"'B70 Bridgwater College' ","'18' ",20
2006 ,"'B70 Bridgwater College' ","'19' ",15
2006 ,"'B70 Bridgwater College' ","'21 and over' ",10
2006 ,"'B72 University of Brighton' ","'17 and under' ",10
2006 ,"'B72 University of Brighton' ","'18' ",1605
2006 ,"'B72 University of Brighton' ","'19' ",805
2006 ,"'B72 University of Brighton' ","'20' ",280
2006 ,"'B72 University of Brighton' ","'21 and over' ",960
2006 ,"'B74 Brighton and Sussex Medical School' ","'18' ",45
2006 ,"'B74 Brighton and Sussex Medical School' ","'19' ",25
2006 ,"'B74 Brighton and Sussex Medical School' ","'20' ",10
2006 ,"'B74 Brighton and Sussex Medical School' ","'21 and over' ",40
2006 ,"'B77 Bristol, City of Bristol College' ","'17 and under' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'18' ",60
2006 ,"'B77 Bristol, City of Bristol College' ","'19' ",40
2006 ,"'B77 Bristol, City of Bristol College' ","'20' ",20
2006 ,"'B77 Bristol, City of Bristol College' ","'21 and over' ",115
2006 ,"'B78 University of Bristol' ","'17 and under' ",35
2006 ,"'B78 University of Bristol' ","'18' ",2505
2006 ,"'B78 University of Bristol' ","'19' ",420
2006 ,"'B78 University of Bristol' ","'20' ",65
2006 ,"'B78 University of Bristol' ","'21 and over' ",175
2006 ,"'B79 Bristol Filton College' ","'17 and under' ",5
2006 ,"'B79 Bristol Filton College' ","'18' ",10
2006 ,"'B79 Bristol Filton College' ","'19' ",5
2006 ,"'B79 Bristol Filton College' ","'20' ",5
2006 ,"'B79 Bristol Filton College' ","'21 and over' ",5
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'17 and under' ",5
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'18' ",2565
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'19' ",1115
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'20' ",450
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'21 and over' ",1065
2006 ,"'B81 British College of Osteopathic Medicine' ","'18' ",10
2006 ,"'B81 British College of Osteopathic Medicine' ","'19' ",10
2006 ,"'B81 British College of Osteopathic Medicine' ","'20' ",5
2006 ,"'B81 British College of Osteopathic Medicine' ","'21 and over' ",25
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'18' ",30
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'19' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'20' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'21 and over' ",5
2006 ,"'B84 Brunel University London' ","'17 and under' ",5
2006 ,"'B84 Brunel University London' ","'18' ",1780
2006 ,"'B84 Brunel University London' ","'19' ",525
2006 ,"'B84 Brunel University London' ","'20' ",190
2006 ,"'B84 Brunel University London' ","'21 and over' ",570
2006 ,"'B87 British School of Osteopathy' ","'18' ",20
2006 ,"'B87 British School of Osteopathy' ","'19' ",5
2006 ,"'B87 British School of Osteopathy' ","'20' ",5
