"Statistic:   Number of Applications"
"Variables:   Provider Name , Age Band , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_009_03.pdf"
 
Cycle Year,Provider Name , Age Band,Number of Applications,
2006 ,"'A20 The University of Aberdeen' ","'17 and under' ",310
2006 ,"'A20 The University of Aberdeen' ","'18' ",8400
2006 ,"'A20 The University of Aberdeen' ","'19' ",1480
2006 ,"'A20 The University of Aberdeen' ","'20' ",460
2006 ,"'A20 The University of Aberdeen' ","'21 and over' ",1185
2006 ,"'A30 Abertay University' ","'17 and under' ",100
2006 ,"'A30 Abertay University' ","'18' ",2410
2006 ,"'A30 Abertay University' ","'19' ",495
2006 ,"'A30 Abertay University' ","'20' ",320
2006 ,"'A30 Abertay University' ","'21 and over' ",800
2006 ,"'A40 Aberystwyth University' ","'17 and under' ",20
2006 ,"'A40 Aberystwyth University' ","'18' ",6570
2006 ,"'A40 Aberystwyth University' ","'19' ",935
2006 ,"'A40 Aberystwyth University' ","'20' ",275
2006 ,"'A40 Aberystwyth University' ","'21 and over' ",455
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'17 and under' ",5
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'18' ",120
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'19' ",20
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'20' ",5
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'21 and over' ",30
2006 ,"'A50 American InterContinental University - London' ","'18' ",90
2006 ,"'A50 American InterContinental University - London' ","'19' ",45
2006 ,"'A50 American InterContinental University - London' ","'20' ",10
2006 ,"'A50 American InterContinental University - London' ","'21 and over' ",45
2006 ,"'A60 Anglia Ruskin University' ","'17 and under' ",5
2006 ,"'A60 Anglia Ruskin University' ","'18' ",4130
2006 ,"'A60 Anglia Ruskin University' ","'19' ",1340
2006 ,"'A60 Anglia Ruskin University' ","'20' ",525
2006 ,"'A60 Anglia Ruskin University' ","'21 and over' ",2175
2006 ,"'A70 Askham Bryan College' ","'18' ",85
2006 ,"'A70 Askham Bryan College' ","'19' ",25
2006 ,"'A70 Askham Bryan College' ","'20' ",15
2006 ,"'A70 Askham Bryan College' ","'21 and over' ",35
2006 ,"'A80 Aston University, Birmingham' ","'17 and under' ",50
2006 ,"'A80 Aston University, Birmingham' ","'18' ",7835
2006 ,"'A80 Aston University, Birmingham' ","'19' ",1950
2006 ,"'A80 Aston University, Birmingham' ","'20' ",560
2006 ,"'A80 Aston University, Birmingham' ","'21 and over' ",940
2006 ,"'B06 Bangor University' ","'17 and under' ",25
2006 ,"'B06 Bangor University' ","'18' ",6305
2006 ,"'B06 Bangor University' ","'19' ",900
2006 ,"'B06 Bangor University' ","'20' ",325
2006 ,"'B06 Bangor University' ","'21 and over' ",1020
2006 ,"'B11 Barking and Dagenham College' ","'18' ",35
2006 ,"'B11 Barking and Dagenham College' ","'19' ",30
2006 ,"'B11 Barking and Dagenham College' ","'20' ",10
2006 ,"'B11 Barking and Dagenham College' ","'21 and over' ",25
2006 ,"'B12 Barony College' ","'18' ",25
2006 ,"'B12 Barony College' ","'19' ",5
2006 ,"'B12 Barony College' ","'21 and over' ",5
2006 ,"'B15 Basingstoke College of Technology' ","'18' ",30
2006 ,"'B15 Basingstoke College of Technology' ","'19' ",15
2006 ,"'B15 Basingstoke College of Technology' ","'20' ",5
2006 ,"'B15 Basingstoke College of Technology' ","'21 and over' ",10
2006 ,"'B16 University of Bath' ","'17 and under' ",170
2006 ,"'B16 University of Bath' ","'18' ",11540
2006 ,"'B16 University of Bath' ","'19' ",1345
2006 ,"'B16 University of Bath' ","'20' ",365
2006 ,"'B16 University of Bath' ","'21 and over' ",830
2006 ,"'B20 Bath Spa University' ","'17 and under' ",20
2006 ,"'B20 Bath Spa University' ","'18' ",5885
2006 ,"'B20 Bath Spa University' ","'19' ",1820
2006 ,"'B20 Bath Spa University' ","'20' ",645
2006 ,"'B20 Bath Spa University' ","'21 and over' ",1070
2006 ,"'B21 Bath College' ","'18' ",15
2006 ,"'B21 Bath College' ","'19' ",5
2006 ,"'B21 Bath College' ","'21 and over' ",5
2006 ,"'B23 Bedford College' ","'18' ",25
2006 ,"'B23 Bedford College' ","'19' ",10
2006 ,"'B23 Bedford College' ","'20' ",5
2006 ,"'B23 Bedford College' ","'21 and over' ",10
2006 ,"'B26 Bell College' ","'17 and under' ",45
2006 ,"'B26 Bell College' ","'18' ",760
2006 ,"'B26 Bell College' ","'19' ",135
2006 ,"'B26 Bell College' ","'20' ",60
2006 ,"'B26 Bell College' ","'21 and over' ",295
2006 ,"'B32 The University of Birmingham' ","'17 and under' ",195
2006 ,"'B32 The University of Birmingham' ","'18' ",24035
2006 ,"'B32 The University of Birmingham' ","'19' ",4010
2006 ,"'B32 The University of Birmingham' ","'20' ",1110
2006 ,"'B32 The University of Birmingham' ","'21 and over' ",3720
2006 ,"'B35 University College Birmingham' ","'18' ",1230
2006 ,"'B35 University College Birmingham' ","'19' ",505
2006 ,"'B35 University College Birmingham' ","'20' ",205
2006 ,"'B35 University College Birmingham' ","'21 and over' ",255
2006 ,"'B37 Bishop Burton College' ","'18' ",235
2006 ,"'B37 Bishop Burton College' ","'19' ",65
2006 ,"'B37 Bishop Burton College' ","'20' ",20
2006 ,"'B37 Bishop Burton College' ","'21 and over' ",65
2006 ,"'B38 Bishop Grosseteste University' ","'18' ",715
2006 ,"'B38 Bishop Grosseteste University' ","'19' ",150
2006 ,"'B38 Bishop Grosseteste University' ","'20' ",45
2006 ,"'B38 Bishop Grosseteste University' ","'21 and over' ",195
2006 ,"'B40 Blackburn College' ","'18' ",155
2006 ,"'B40 Blackburn College' ","'19' ",155
