"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_012_02.pdf"
 
Cycle Year,Provider Name , Ethnic Group (Summary Level),Number of Acceptances,
2006 ,"'A20 The University of Aberdeen' ","'Asian' ",40
2006 ,"'A20 The University of Aberdeen' ","'Black' ",15
2006 ,"'A20 The University of Aberdeen' ","'Mixed' ",30
2006 ,"'A20 The University of Aberdeen' ","'White' ",1665
2006 ,"'A20 The University of Aberdeen' ","'Other' ",5
2006 ,"'A20 The University of Aberdeen' ","'Unknown' ",25
2006 ,"'A30 Abertay University' ","'Asian' ",20
2006 ,"'A30 Abertay University' ","'Black' ",5
2006 ,"'A30 Abertay University' ","'Mixed' ",5
2006 ,"'A30 Abertay University' ","'White' ",735
2006 ,"'A30 Abertay University' ","'Unknown' ",5
2006 ,"'A40 Aberystwyth University' ","'Asian' ",15
2006 ,"'A40 Aberystwyth University' ","'Black' ",15
2006 ,"'A40 Aberystwyth University' ","'Mixed' ",25
2006 ,"'A40 Aberystwyth University' ","'White' ",1565
2006 ,"'A40 Aberystwyth University' ","'Other' ",5
2006 ,"'A40 Aberystwyth University' ","'Unknown' ",25
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'White' ",65
2006 ,"'A60 Anglia Ruskin University' ","'Asian' ",80
2006 ,"'A60 Anglia Ruskin University' ","'Black' ",75
2006 ,"'A60 Anglia Ruskin University' ","'Mixed' ",45
2006 ,"'A60 Anglia Ruskin University' ","'White' ",1480
2006 ,"'A60 Anglia Ruskin University' ","'Other' ",15
2006 ,"'A60 Anglia Ruskin University' ","'Unknown' ",25
2006 ,"'A70 Askham Bryan College' ","'White' ",30
2006 ,"'A80 Aston University, Birmingham' ","'Asian' ",605
2006 ,"'A80 Aston University, Birmingham' ","'Black' ",115
2006 ,"'A80 Aston University, Birmingham' ","'Mixed' ",40
2006 ,"'A80 Aston University, Birmingham' ","'White' ",705
2006 ,"'A80 Aston University, Birmingham' ","'Other' ",30
