"Statistic:   Number of Applications"
"Variables:   Provider Name , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_012_03.pdf"
 
Cycle Year,Provider Name , Ethnic Group (Summary Level),Number of Applications,
2006 ,"'A20 The University of Aberdeen' ","'Asian' ",405
2006 ,"'A20 The University of Aberdeen' ","'Black' ",180
2006 ,"'A20 The University of Aberdeen' ","'Mixed' ",160
2006 ,"'A20 The University of Aberdeen' ","'White' ",10880
2006 ,"'A20 The University of Aberdeen' ","'Other' ",50
2006 ,"'A20 The University of Aberdeen' ","'Unknown' ",155
2006 ,"'A30 Abertay University' ","'Asian' ",125
2006 ,"'A30 Abertay University' ","'Black' ",55
2006 ,"'A30 Abertay University' ","'Mixed' ",50
2006 ,"'A30 Abertay University' ","'White' ",3855
2006 ,"'A30 Abertay University' ","'Other' ",10
2006 ,"'A30 Abertay University' ","'Unknown' ",25
2006 ,"'A40 Aberystwyth University' ","'Asian' ",105
2006 ,"'A40 Aberystwyth University' ","'Black' ",70
2006 ,"'A40 Aberystwyth University' ","'Mixed' ",115
2006 ,"'A40 Aberystwyth University' ","'White' ",7840
2006 ,"'A40 Aberystwyth University' ","'Other' ",25
2006 ,"'A40 Aberystwyth University' ","'Unknown' ",90
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'Black' ",5
2006 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'White' ",170
2006 ,"'A50 American InterContinental University - London' ","'Asian' ",35
2006 ,"'A50 American InterContinental University - London' ","'Black' ",40
2006 ,"'A50 American InterContinental University - London' ","'Mixed' ",10
2006 ,"'A50 American InterContinental University - London' ","'White' ",90
2006 ,"'A50 American InterContinental University - London' ","'Other' ",5
2006 ,"'A50 American InterContinental University - London' ","'Unknown' ",15
2006 ,"'A60 Anglia Ruskin University' ","'Asian' ",665
2006 ,"'A60 Anglia Ruskin University' ","'Black' ",590
2006 ,"'A60 Anglia Ruskin University' ","'Mixed' ",225
2006 ,"'A60 Anglia Ruskin University' ","'White' ",6500
2006 ,"'A60 Anglia Ruskin University' ","'Other' ",65
2006 ,"'A60 Anglia Ruskin University' ","'Unknown' ",135
2006 ,"'A70 Askham Bryan College' ","'White' ",155
2006 ,"'A80 Aston University, Birmingham' ","'Asian' ",4600
2006 ,"'A80 Aston University, Birmingham' ","'Black' ",860
2006 ,"'A80 Aston University, Birmingham' ","'Mixed' ",320
2006 ,"'A80 Aston University, Birmingham' ","'White' ",5245
2006 ,"'A80 Aston University, Birmingham' ","'Other' ",180
2006 ,"'A80 Aston University, Birmingham' ","'Unknown' ",135
2006 ,"'B06 Bangor University' ","'Asian' ",110
2006 ,"'B06 Bangor University' ","'Black' ",70
2006 ,"'B06 Bangor University' ","'Mixed' ",130
2006 ,"'B06 Bangor University' ","'White' ",8165
2006 ,"'B06 Bangor University' ","'Other' ",10
2006 ,"'B06 Bangor University' ","'Unknown' ",80
2006 ,"'B11 Barking and Dagenham College' ","'Asian' ",15
2006 ,"'B11 Barking and Dagenham College' ","'Black' ",15
2006 ,"'B11 Barking and Dagenham College' ","'Mixed' ",5
2006 ,"'B11 Barking and Dagenham College' ","'White' ",60
2006 ,"'B11 Barking and Dagenham College' ","'Other' ",5
2006 ,"'B11 Barking and Dagenham College' ","'Unknown' ",5
2006 ,"'B12 Barony College' ","'White' ",30
2006 ,"'B15 Basingstoke College of Technology' ","'White' ",55
2006 ,"'B16 University of Bath' ","'Asian' ",1170
2006 ,"'B16 University of Bath' ","'Black' ",450
2006 ,"'B16 University of Bath' ","'Mixed' ",390
2006 ,"'B16 University of Bath' ","'White' ",11905
2006 ,"'B16 University of Bath' ","'Other' ",100
2006 ,"'B16 University of Bath' ","'Unknown' ",230
2006 ,"'B20 Bath Spa University' ","'Asian' ",185
2006 ,"'B20 Bath Spa University' ","'Black' ",130
2006 ,"'B20 Bath Spa University' ","'Mixed' ",245
2006 ,"'B20 Bath Spa University' ","'White' ",8745
2006 ,"'B20 Bath Spa University' ","'Other' ",35
2006 ,"'B20 Bath Spa University' ","'Unknown' ",100
2006 ,"'B21 Bath College' ","'White' ",25
2006 ,"'B23 Bedford College' ","'Black' ",15
2006 ,"'B23 Bedford College' ","'White' ",35
2006 ,"'B26 Bell College' ","'Asian' ",35
2006 ,"'B26 Bell College' ","'Black' ",15
2006 ,"'B26 Bell College' ","'Mixed' ",15
2006 ,"'B26 Bell College' ","'White' ",1220
2006 ,"'B32 The University of Birmingham' ","'Asian' ",5740
2006 ,"'B32 The University of Birmingham' ","'Black' ",1985
2006 ,"'B32 The University of Birmingham' ","'Mixed' ",1065
2006 ,"'B32 The University of Birmingham' ","'White' ",23435
2006 ,"'B32 The University of Birmingham' ","'Other' ",320
2006 ,"'B32 The University of Birmingham' ","'Unknown' ",525
2006 ,"'B35 University College Birmingham' ","'Asian' ",350
2006 ,"'B35 University College Birmingham' ","'Black' ",200
2006 ,"'B35 University College Birmingham' ","'Mixed' ",95
2006 ,"'B35 University College Birmingham' ","'White' ",1510
2006 ,"'B35 University College Birmingham' ","'Other' ",10
2006 ,"'B35 University College Birmingham' ","'Unknown' ",25
2006 ,"'B37 Bishop Burton College' ","'White' ",375
2006 ,"'B37 Bishop Burton College' ","'Unknown' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'Asian' ",10
2006 ,"'B38 Bishop Grosseteste University' ","'Black' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'Mixed' ",10
2006 ,"'B38 Bishop Grosseteste University' ","'White' ",1075
2006 ,"'B38 Bishop Grosseteste University' ","'Unknown' ",10
2006 ,"'B40 Blackburn College' ","'Asian' ",165
2006 ,"'B40 Blackburn College' ","'Black' ",10
2006 ,"'B40 Blackburn College' ","'Mixed' ",10
2006 ,"'B40 Blackburn College' ","'White' ",345
2006 ,"'B40 Blackburn College' ","'Other' ",5
2006 ,"'B40 Blackburn College' ","'Unknown' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'Asian' ",20
2006 ,"'B41 Blackpool and The Fylde College' ","'Black' ",10
2006 ,"'B41 Blackpool and The Fylde College' ","'Mixed' ",15
2006 ,"'B41 Blackpool and The Fylde College' ","'White' ",805
2006 ,"'B41 Blackpool and The Fylde College' ","'Unknown' ",5
2006 ,"'B44 University of Bolton' ","'Asian' ",680
2006 ,"'B44 University of Bolton' ","'Black' ",285
2006 ,"'B44 University of Bolton' ","'Mixed' ",130
2006 ,"'B44 University of Bolton' ","'White' ",4285
2006 ,"'B44 University of Bolton' ","'Other' ",35
2006 ,"'B44 University of Bolton' ","'Unknown' ",45
2006 ,"'B50 Bournemouth University' ","'Asian' ",600
2006 ,"'B50 Bournemouth University' ","'Black' ",540
2006 ,"'B50 Bournemouth University' ","'Mixed' ",420
2006 ,"'B50 Bournemouth University' ","'White' ",14535
2006 ,"'B50 Bournemouth University' ","'Other' ",115
2006 ,"'B50 Bournemouth University' ","'Unknown' ",165
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Asian' ",95
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Black' ",65
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Mixed' ",145
2006 ,"'B53 The Arts Institute at Bournemouth' ","'White' ",3570
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Other' ",30
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Unknown' ",40
2006 ,"'B56 The University of Bradford' ","'Asian' ",4120
2006 ,"'B56 The University of Bradford' ","'Black' ",790
2006 ,"'B56 The University of Bradford' ","'Mixed' ",260
2006 ,"'B56 The University of Bradford' ","'White' ",4635
2006 ,"'B56 The University of Bradford' ","'Other' ",150
2006 ,"'B56 The University of Bradford' ","'Unknown' ",140
2006 ,"'B60 Bradford College' ","'Asian' ",685
2006 ,"'B60 Bradford College' ","'Black' ",95
2006 ,"'B60 Bradford College' ","'Mixed' ",35
2006 ,"'B60 Bradford College' ","'White' ",1040
2006 ,"'B60 Bradford College' ","'Other' ",10
2006 ,"'B60 Bradford College' ","'Unknown' ",25
2006 ,"'B70 Bridgwater College' ","'White' ",85
2006 ,"'B72 University of Brighton' ","'Asian' ",1315
2006 ,"'B72 University of Brighton' ","'Black' ",1195
2006 ,"'B72 University of Brighton' ","'Mixed' ",690
2006 ,"'B72 University of Brighton' ","'White' ",16845
2006 ,"'B72 University of Brighton' ","'Other' ",250
2006 ,"'B72 University of Brighton' ","'Unknown' ",275
2006 ,"'B74 Brighton and Sussex Medical School' ","'Asian' ",460
2006 ,"'B74 Brighton and Sussex Medical School' ","'Black' ",160
2006 ,"'B74 Brighton and Sussex Medical School' ","'Mixed' ",70
2006 ,"'B74 Brighton and Sussex Medical School' ","'White' ",1125
2006 ,"'B74 Brighton and Sussex Medical School' ","'Other' ",55
2006 ,"'B74 Brighton and Sussex Medical School' ","'Unknown' ",20
2006 ,"'B77 Bristol, City of Bristol College' ","'Asian' ",30
2006 ,"'B77 Bristol, City of Bristol College' ","'Black' ",50
2006 ,"'B77 Bristol, City of Bristol College' ","'Mixed' ",10
2006 ,"'B77 Bristol, City of Bristol College' ","'White' ",410
2006 ,"'B77 Bristol, City of Bristol College' ","'Other' ",10
2006 ,"'B77 Bristol, City of Bristol College' ","'Unknown' ",5
2006 ,"'B78 University of Bristol' ","'Asian' ",2315
2006 ,"'B78 University of Bristol' ","'Black' ",845
2006 ,"'B78 University of Bristol' ","'Mixed' ",1040
2006 ,"'B78 University of Bristol' ","'White' ",26135
2006 ,"'B78 University of Bristol' ","'Other' ",295
2006 ,"'B78 University of Bristol' ","'Unknown' ",550
2006 ,"'B79 Bristol Filton College' ","'Asian' ",5
2006 ,"'B79 Bristol Filton College' ","'Black' ",5
2006 ,"'B79 Bristol Filton College' ","'Mixed' ",5
2006 ,"'B79 Bristol Filton College' ","'White' ",135
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Asian' ",1065
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Black' ",930
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Mixed' ",630
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'White' ",20985
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Other' ",150
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Unknown' ",250
2006 ,"'B81 British College of Osteopathic Medicine' ","'Asian' ",20
2006 ,"'B81 British College of Osteopathic Medicine' ","'Black' ",10
2006 ,"'B81 British College of Osteopathic Medicine' ","'Mixed' ",10
2006 ,"'B81 British College of Osteopathic Medicine' ","'White' ",120
2006 ,"'B81 British College of Osteopathic Medicine' ","'Other' ",5
2006 ,"'B81 British College of Osteopathic Medicine' ","'Unknown' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'Asian' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'Mixed' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'White' ",85
2006 ,"'B83 Brooklands College' ","'White' ",5
2006 ,"'B84 Brunel University London' ","'Asian' ",5720
