"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Entry Year"
"Coverage:   Direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_019_01.pdf"
 
Entry Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2007 ,"'A20 The University of Aberdeen' ","'UK' ",2110
2007 ,"'A20 The University of Aberdeen' ","'EU (excluding UK)' ",385
2007 ,"'A20 The University of Aberdeen' ","'Not EU' ",250
2007 ,"'A30 Abertay University' ","'UK' ",935
2007 ,"'A30 Abertay University' ","'EU (excluding UK)' ",50
2007 ,"'A30 Abertay University' ","'Not EU' ",15
2007 ,"'A40 Aberystwyth University' ","'UK' ",1845
2007 ,"'A40 Aberystwyth University' ","'EU (excluding UK)' ",195
2007 ,"'A40 Aberystwyth University' ","'Not EU' ",170
2007 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'UK' ",85
2007 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'EU (excluding UK)' ",35
2007 ,"'A50 American InterContinental University - London' ","'UK' ",10
2007 ,"'A50 American InterContinental University - London' ","'EU (excluding UK)' ",5
2007 ,"'A50 American InterContinental University - London' ","'Not EU' ",10
2007 ,"'A60 Anglia Ruskin University' ","'UK' ",2290
2007 ,"'A60 Anglia Ruskin University' ","'EU (excluding UK)' ",125
2007 ,"'A60 Anglia Ruskin University' ","'Not EU' ",85
2007 ,"'A70 Askham Bryan College' ","'UK' ",35
2007 ,"'A80 Aston University, Birmingham' ","'UK' ",1710
2007 ,"'A80 Aston University, Birmingham' ","'EU (excluding UK)' ",110
2007 ,"'A80 Aston University, Birmingham' ","'Not EU' ",415
2007 ,"'B06 Bangor University' ","'UK' ",1995
2007 ,"'B06 Bangor University' ","'EU (excluding UK)' ",75
2007 ,"'B06 Bangor University' ","'Not EU' ",80
2007 ,"'B11 Barking and Dagenham College' ","'UK' ",40
2007 ,"'B12 Barony College' ","'UK' ",5
2007 ,"'B15 Basingstoke College of Technology' ","'UK' ",30
2007 ,"'B16 University of Bath' ","'UK' ",2060
2007 ,"'B16 University of Bath' ","'EU (excluding UK)' ",255
2007 ,"'B16 University of Bath' ","'Not EU' ",430
2007 ,"'B20 Bath Spa University' ","'UK' ",1675
2007 ,"'B20 Bath Spa University' ","'EU (excluding UK)' ",25
2007 ,"'B20 Bath Spa University' ","'Not EU' ",35
2007 ,"'B23 Bedford College' ","'UK' ",45
2007 ,"'B23 Bedford College' ","'Not EU' ",5
2007 ,"'B26 Bell College' ","'UK' ",730
2007 ,"'B26 Bell College' ","'EU (excluding UK)' ",5
2007 ,"'B26 Bell College' ","'Not EU' ",5
2007 ,"'B32 The University of Birmingham' ","'UK' ",4715
2007 ,"'B32 The University of Birmingham' ","'EU (excluding UK)' ",180
2007 ,"'B32 The University of Birmingham' ","'Not EU' ",500
