"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Entry Year"
"Coverage:   Accepted through the main scheme and direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_019_02.pdf"
 
Entry Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2007 ,"'A20 The University of Aberdeen' ","'UK' ",1790
2007 ,"'A20 The University of Aberdeen' ","'EU (excluding UK)' ",330
2007 ,"'A20 The University of Aberdeen' ","'Not EU' ",190
2007 ,"'A30 Abertay University' ","'UK' ",750
2007 ,"'A30 Abertay University' ","'EU (excluding UK)' ",40
2007 ,"'A30 Abertay University' ","'Not EU' ",15
2007 ,"'A40 Aberystwyth University' ","'UK' ",1665
2007 ,"'A40 Aberystwyth University' ","'EU (excluding UK)' ",170
2007 ,"'A40 Aberystwyth University' ","'Not EU' ",145
2007 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'UK' ",55
2007 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'EU (excluding UK)' ",30
2007 ,"'A50 American InterContinental University - London' ","'UK' ",10
2007 ,"'A50 American InterContinental University - London' ","'EU (excluding UK)' ",5
2007 ,"'A50 American InterContinental University - London' ","'Not EU' ",10
2007 ,"'A60 Anglia Ruskin University' ","'UK' ",1960
2007 ,"'A60 Anglia Ruskin University' ","'EU (excluding UK)' ",115
2007 ,"'A60 Anglia Ruskin University' ","'Not EU' ",80
2007 ,"'A70 Askham Bryan College' ","'UK' ",35
2007 ,"'A80 Aston University, Birmingham' ","'UK' ",1445
2007 ,"'A80 Aston University, Birmingham' ","'EU (excluding UK)' ",100
2007 ,"'A80 Aston University, Birmingham' ","'Not EU' ",330
2007 ,"'B06 Bangor University' ","'UK' ",1730
2007 ,"'B06 Bangor University' ","'EU (excluding UK)' ",60
2007 ,"'B06 Bangor University' ","'Not EU' ",60
2007 ,"'B11 Barking and Dagenham College' ","'UK' ",30
2007 ,"'B12 Barony College' ","'UK' ",5
2007 ,"'B15 Basingstoke College of Technology' ","'UK' ",25
2007 ,"'B16 University of Bath' ","'UK' ",1895
2007 ,"'B16 University of Bath' ","'EU (excluding UK)' ",245
2007 ,"'B16 University of Bath' ","'Not EU' ",395
2007 ,"'B20 Bath Spa University' ","'UK' ",1540
2007 ,"'B20 Bath Spa University' ","'EU (excluding UK)' ",25
2007 ,"'B20 Bath Spa University' ","'Not EU' ",25
2007 ,"'B23 Bedford College' ","'UK' ",25
2007 ,"'B23 Bedford College' ","'Not EU' ",5
2007 ,"'B26 Bell College' ","'UK' ",380
2007 ,"'B26 Bell College' ","'EU (excluding UK)' ",5
2007 ,"'B32 The University of Birmingham' ","'UK' ",4345
2007 ,"'B32 The University of Birmingham' ","'EU (excluding UK)' ",175
2007 ,"'B32 The University of Birmingham' ","'Not EU' ",435
2007 ,"'B35 University College Birmingham' ","'UK' ",615
2007 ,"'B35 University College Birmingham' ","'EU (excluding UK)' ",60
2007 ,"'B35 University College Birmingham' ","'Not EU' ",40
2007 ,"'B37 Bishop Burton College' ","'UK' ",135
2007 ,"'B38 Bishop Grosseteste University' ","'UK' ",370
2007 ,"'B41 Blackpool and The Fylde College' ","'UK' ",335
2007 ,"'B41 Blackpool and The Fylde College' ","'Not EU' ",5
2007 ,"'B44 University of Bolton' ","'UK' ",595
2007 ,"'B44 University of Bolton' ","'EU (excluding UK)' ",10
2007 ,"'B44 University of Bolton' ","'Not EU' ",10
2007 ,"'B50 Bournemouth University' ","'UK' ",2990
2007 ,"'B50 Bournemouth University' ","'EU (excluding UK)' ",105
2007 ,"'B50 Bournemouth University' ","'Not EU' ",165
2007 ,"'B53 The Arts Institute at Bournemouth' ","'UK' ",650
2007 ,"'B53 The Arts Institute at Bournemouth' ","'EU (excluding UK)' ",30
2007 ,"'B53 The Arts Institute at Bournemouth' ","'Not EU' ",30
2007 ,"'B56 The University of Bradford' ","'UK' ",1475
2007 ,"'B56 The University of Bradford' ","'EU (excluding UK)' ",135
2007 ,"'B56 The University of Bradford' ","'Not EU' ",245
2007 ,"'B60 Bradford College' ","'UK' ",350
2007 ,"'B70 Bridgwater College' ","'UK' ",40
2007 ,"'B72 University of Brighton' ","'UK' ",3285
2007 ,"'B72 University of Brighton' ","'EU (excluding UK)' ",365
2007 ,"'B72 University of Brighton' ","'Not EU' ",250
2007 ,"'B74 Brighton and Sussex Medical School' ","'UK' ",120
2007 ,"'B74 Brighton and Sussex Medical School' ","'EU (excluding UK)' ",5
2007 ,"'B74 Brighton and Sussex Medical School' ","'Not EU' ",10
2007 ,"'B77 Bristol, City of Bristol College' ","'UK' ",140
2007 ,"'B77 Bristol, City of Bristol College' ","'Not EU' ",5
2007 ,"'B78 University of Bristol' ","'UK' ",3180
2007 ,"'B78 University of Bristol' ","'EU (excluding UK)' ",150
2007 ,"'B78 University of Bristol' ","'Not EU' ",380
2007 ,"'B79 Bristol Filton College' ","'UK' ",10
2007 ,"'B80 Bristol, University of the West of England (UWE)' ","'UK' ",4830
2007 ,"'B80 Bristol, University of the West of England (UWE)' ","'EU (excluding UK)' ",195
2007 ,"'B80 Bristol, University of the West of England (UWE)' ","'Not EU' ",185
2007 ,"'B81 British College of Osteopathic Medicine' ","'UK' ",40
2007 ,"'B81 British College of Osteopathic Medicine' ","'EU (excluding UK)' ",5
2007 ,"'B81 British College of Osteopathic Medicine' ","'Not EU' ",5
2007 ,"'B84 Brunel University London' ","'UK' ",2520
2007 ,"'B84 Brunel University London' ","'EU (excluding UK)' ",95
2007 ,"'B84 Brunel University London' ","'Not EU' ",160
2007 ,"'B87 British School of Osteopathy' ","'UK' ",75
2007 ,"'B87 British School of Osteopathy' ","'EU (excluding UK)' ",5
2007 ,"'B87 British School of Osteopathy' ","'Not EU' ",5
2007 ,"'B88 Brockenhurst College' ","'UK' ",5
2007 ,"'B90 The University of Buckingham' ","'UK' ",30
2007 ,"'B90 The University of Buckingham' ","'EU (excluding UK)' ",5
2007 ,"'B90 The University of Buckingham' ","'Not EU' ",20
2007 ,"'B94 Buckinghamshire New University' ","'UK' ",865
2007 ,"'B94 Buckinghamshire New University' ","'EU (excluding UK)' ",35
2007 ,"'B94 Buckinghamshire New University' ","'Not EU' ",25
2007 ,"'C05 University of Cambridge' ","'UK' ",2815
2007 ,"'C05 University of Cambridge' ","'EU (excluding UK)' ",200
2007 ,"'C05 University of Cambridge' ","'Not EU' ",370
2007 ,"'C10 Canterbury Christ Church University' ","'UK' ",1820
2007 ,"'C10 Canterbury Christ Church University' ","'EU (excluding UK)' ",35
2007 ,"'C10 Canterbury Christ Church University' ","'Not EU' ",20
2007 ,"'C15 Cardiff University' ","'UK' ",4210
2007 ,"'C15 Cardiff University' ","'EU (excluding UK)' ",130
2007 ,"'C15 Cardiff University' ","'Not EU' ",420
2007 ,"'C20 Cardiff Metropolitan University' ","'UK' ",1935
2007 ,"'C20 Cardiff Metropolitan University' ","'EU (excluding UK)' ",40
2007 ,"'C20 Cardiff Metropolitan University' ","'Not EU' ",30
2007 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'UK' ",80
2007 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'EU (excluding UK)' ",5
2007 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'UK' ",2535
2007 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'EU (excluding UK)' ",65
2007 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Not EU' ",65
2007 ,"'C30 University of Central Lancashire (UCLan)' ","'UK' ",3380
2007 ,"'C30 University of Central Lancashire (UCLan)' ","'EU (excluding UK)' ",150
2007 ,"'C30 University of Central Lancashire (UCLan)' ","'Not EU' ",55
2007 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'UK' ",185
2007 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'EU (excluding UK)' ",10
2007 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Not EU' ",5
2007 ,"'C55 University of Chester' ","'UK' ",2100
2007 ,"'C55 University of Chester' ","'EU (excluding UK)' ",50
2007 ,"'C55 University of Chester' ","'Not EU' ",45
2007 ,"'C56 Chesterfield College' ","'UK' ",35
2007 ,"'C57 Chichester College' ","'UK' ",35
2007 ,"'C58 University of Chichester' ","'UK' ",1005
2007 ,"'C58 University of Chichester' ","'EU (excluding UK)' ",5
2007 ,"'C58 University of Chichester' ","'Not EU' ",20
2007 ,"'C60 City, University of London' ","'UK' ",1275
2007 ,"'C60 City, University of London' ","'EU (excluding UK)' ",190
2007 ,"'C60 City, University of London' ","'Not EU' ",370
2007 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'UK' ",165
2007 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'EU (excluding UK)' ",5
2007 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'Not EU' ",5
2007 ,"'C69 City of Sunderland College' ","'UK' ",65
2007 ,"'C71 Cleveland College of Art and Design' ","'UK' ",195
2007 ,"'C72 Cliff College' ","'UK' ",20
2007 ,"'C75 University Centre Colchester at Colchester Institute' ","'UK' ",285
2007 ,"'C75 University Centre Colchester at Colchester Institute' ","'Not EU' ",5
2007 ,"'C78 Cornwall College' ","'UK' ",215
2007 ,"'C78 Cornwall College' ","'EU (excluding UK)' ",5
2007 ,"'C78 Cornwall College' ","'Not EU' ",5
2007 ,"'C80 Courtauld Institute of Art (University of London)' ","'UK' ",45
2007 ,"'C80 Courtauld Institute of Art (University of London)' ","'EU (excluding UK)' ",10
2007 ,"'C80 Courtauld Institute of Art (University of London)' ","'Not EU' ",5
2007 ,"'C85 Coventry University' ","'UK' ",2640
2007 ,"'C85 Coventry University' ","'EU (excluding UK)' ",365
2007 ,"'C85 Coventry University' ","'Not EU' ",155
2007 ,"'C88 Craven College' ","'UK' ",15
2007 ,"'C92 University Centre, Croydon (Croydon College)' ","'UK' ",80
2007 ,"'C92 University Centre, Croydon (Croydon College)' ","'Not EU' ",5
2007 ,"'C95 Cumbria Institute of the Arts' ","'UK' ",315
2007 ,"'C95 Cumbria Institute of the Arts' ","'EU (excluding UK)' ",20
2007 ,"'C95 Cumbria Institute of the Arts' ","'Not EU' ",5
2007 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'UK' ",150
2007 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'EU (excluding UK)' ",5
2007 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'Not EU' ",5
2007 ,"'D22 Dearne Valley College' ","'UK' ",25
2007 ,"'D26 De Montfort University' ","'UK' ",3355
2007 ,"'D26 De Montfort University' ","'EU (excluding UK)' ",60
2007 ,"'D26 De Montfort University' ","'Not EU' ",120
2007 ,"'D39 University of Derby' ","'UK' ",2085
2007 ,"'D39 University of Derby' ","'EU (excluding UK)' ",45
2007 ,"'D39 University of Derby' ","'Not EU' ",45
2007 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'UK' ",80
2007 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'EU (excluding UK)' ",10
2007 ,"'D52 Doncaster College' ","'UK' ",190
2007 ,"'D52 Doncaster College' ","'Not EU' ",5
2007 ,"'D55 Duchy College' ","'UK' ",85
2007 ,"'D58 Dudley College of Technology' ","'UK' ",5
2007 ,"'D65 University of Dundee' ","'UK' ",1680
2007 ,"'D65 University of Dundee' ","'EU (excluding UK)' ",135
2007 ,"'D65 University of Dundee' ","'Not EU' ",25
2007 ,"'D86 Durham University' ","'UK' ",3155
2007 ,"'D86 Durham University' ","'EU (excluding UK)' ",80
2007 ,"'D86 Durham University' ","'Not EU' ",265
2007 ,"'E10 Ealing, Hammersmith and West London College' ","'UK' ",5
2007 ,"'E14 University of East Anglia (UEA)' ","'UK' ",2320
2007 ,"'E14 University of East Anglia (UEA)' ","'EU (excluding UK)' ",105
2007 ,"'E14 University of East Anglia (UEA)' ","'Not EU' ",130
2007 ,"'E28 University of East London (UEL)' ","'UK' ",1760
2007 ,"'E28 University of East London (UEL)' ","'EU (excluding UK)' ",155
2007 ,"'E28 University of East London (UEL)' ","'Not EU' ",125
